prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
-188.95151146290758,"[33.59003666907883, 130.3475057055525]","(2196, 10498)","(33.59002413922228, 130.34764643510607)","(33.590037888620365, 130.3475058248038)"
-196.55699507849545,"[33.59003514985888, 130.3473457620762]","(2196, 10498)","(33.590037888620365, 130.3475058248038)","(33.59005336597271, 130.34734754331552)"
-201.89447459891954,"[33.59007777183651, 130.3472080474071]","(2196, 10498)","(33.59005336597271, 130.34734754331552)","(33.590067108361694, 130.34720700469288)"
-215.8957346402308,"[33.59009964022189, 130.3471676466338]","(2196, 10498)","(33.590067108361694, 130.34720700469288)","(33.590071228601154, 130.3471648684399)"
-220.52634297846814,"[33.59009551632553, 130.3470147271923]","(2196, 10498)","(33.590071228601154, 130.3471648684399)","(33.590086000953214, 130.34701379674382)"
-230.70030333358432,"[33.59007591943591, 130.3468815052233]","(2219, 10498)","(33.590086000953214, 130.34701379674382)","(33.5900989, 130.3468823)"
-236.10589624418583,"[33.5902093593344, 130.3468398806922]","(2201, 2219)","(33.5900989, 130.3468823)","(33.59020748557617, 130.34685266735715)"
-242.85171990202738,"[33.59026007823049, 130.3468067051194]","(2201, 9682)","(33.59020748557617, 130.34685266735715)","(33.5902565, 130.3468088)"
-247.310709378494,"[33.59026629760265, 130.346637591841]","(2185, 9682)","(33.5902565, 130.3468088)","(33.59027405470224, 130.34663839093918)"
-318.78731376614957,"[33.59025816715657, 130.3465322983734]","(2185, 2187)","(33.59027405470224, 130.34663839093918)","(33.5903011, 130.3464652)"
-329.7418825152946,"[33.59031749426722, 130.346363788592]","(2185, 2187)","(33.5903011, 130.3464652)","(33.59031414094653, 130.34636325571722)"
-333.6932413204055,"[33.59033818080425, 130.3462513537429]","(2185, 2187)","(33.59031414094653, 130.34636325571722)","(33.5903319862232, 130.34625069238908)"
-352.297818482181,"[33.59030811401614, 130.3461538468803]","(2185, 2187)","(33.5903319862232, 130.34625069238908)","(33.59034194020347, 130.34615745827517)"
-365.3073710637968,"[33.59033170159309, 130.3459888995908]","(2187, 9683)","(33.59034194020347, 130.34615745827517)","(33.59035940168713, 130.34599173533798)"
-369.63067507269795,"[33.59037564791142, 130.3458742016278]","(2187, 9683)","(33.59035940168713, 130.34599173533798)","(33.59037147769379, 130.34587377470928)"
-375.36852745426535,"[33.59038388732224, 130.3457717580072]","(2187, 9683)","(33.59037147769379, 130.34587377470928)","(33.59038267649318, 130.34578362413194)"
-437.94658748596987,"[33.59039828743189, 130.3457058762483]","(2187, 9683)","(33.59038267649318, 130.34578362413194)","(33.590390274857675, 130.34578439947526)"
-557.636357301766,"[33.59039374444037, 130.3456612845234]","(2187, 9683)","(33.590390274857675, 130.34578439947526)","(33.59038127539549, 130.3457834811628)"
-682.1985961673633,"[33.59033544830381, 130.3456065842233]","(2187, 9683)","(33.59038127539549, 130.3457834811628)","(33.5903795, 130.3457833)"
-808.8045275338758,"[33.59030083942562, 130.3455060852043]","(2187, 9683)","(33.5903795, 130.3457833)","(33.5903795, 130.3457833)"
Path6
1,"[33.59043637060895, 130.3479830968476]","(2184, 9555)","(33.59045202587701, 130.34784141667149)","(33.59045202587701, 130.34784141667149)"
-99.62714181494889,"[33.59034444208591, 130.3479361162804]","(2184, 9555)","(33.59045202587701, 130.34784141667149)","(33.590356077624655, 130.34783081465466)"
-166.1878170381826,"[33.59018591535154, 130.3478986993469]","(2184, 2196)","(33.590356077624655, 130.34783081465466)","(33.59019487854393, 130.3478136053915)"
-174.90343882333946,"[33.59006196147165, 130.3478222481258]","(2184, 2196)","(33.59019487854393, 130.3478136053915)","(33.59006432038102, 130.34779985332267)"
-185.43023563608324,"[33.59004088098518, 130.3476480721779]","(2196, 10498)","(33.59006432038102, 130.34779985332267)","(33.59002413922228, 130.34764643510607)"
-188.95151146290758,"[33.59003666907883, 130.3475057055525]","(2196, 10498)","(33.59002413922228, 130.34764643510607)","(33.590037888620365, 130.3475058248038)"
-196.55699507849545,"[33.59003514985888, 130.3473457620762]","(2196, 10498)","(33.590037888620365, 130.3475058248038)","(33.59005336597271, 130.34734754331552)"
-201.89447459891954,"[33.59007777183651, 130.3472080474071]","(2196, 10498)","(33.59005336597271, 130.34734754331552)","(33.590067108361694, 130.34720700469288)"
-215.8957346402308,"[33.59009964022189, 130.3471676466338]","(2196, 10498)","(33.590067108361694, 130.34720700469288)","(33.590071228601154, 130.3471648684399)"
-220.52634297846814,"[33.59009551632553, 130.3470147271923]","(2196, 10498)","(33.590071228601154, 130.3471648684399)","(33.590086000953214, 130.34701379674382)"
-230.70030333358432,"[33.59007591943591, 130.3468815052233]","(2219, 10498)","(33.590086000953214, 130.34701379674382)","(33.5900989, 130.3468823)"
-236.10589624418583,"[33.5902093593344, 130.3468398806922]","(2201, 2219)","(33.5900989, 130.3468823)","(33.59020748557617, 130.34685266735715)"
-242.85171990202738,"[33.59026007823049, 130.3468067051194]","(2201, 9682)","(33.59020748557617, 130.34685266735715)","(33.5902565, 130.3468088)"
-247.310709378494,"[33.59026629760265, 130.346637591841]","(2185, 9682)","(33.5902565, 130.3468088)","(33.59027405470224, 130.34663839093918)"
-314.2672906858344,"[33.59025816715657, 130.3465322983734]","(2185, 2191)","(33.59027405470224, 130.34663839093918)","(33.590286010779515, 130.34645943396708)"
-323.41989047359596,"[33.59031749426722, 130.346363788592]","(2185, 2187)","(33.590286010779515, 130.34645943396708)","(33.59031414094653, 130.34636325571722)"
-327.37124927870684,"[33.59033818080425, 130.3462513537429]","(2185, 2187)","(33.59031414094653, 130.34636325571722)","(33.5903319862232, 130.34625069238908)"
-345.97582644048236,"[33.59030811401614, 130.3461538468803]","(2185, 2187)","(33.5903319862232, 130.34625069238908)","(33.59034194020347, 130.34615745827517)"
-375.1987763391077,"[33.59033170159309, 130.3459888995908]","(2187, 2210)","(33.59034194020347, 130.34615745827517)","(33.59032584355872, 130.34604135562586)"
-386.2812458323786,"[33.59037564791142, 130.3458742016278]","(2187, 9683)","(33.59032584355872, 130.34604135562586)","(33.59037147769379, 130.34587377470928)"
-392.019098213946,"[33.59038388732224, 130.3457717580072]","(2187, 9683)","(33.59037147769379, 130.34587377470928)","(33.59038267649318, 130.34578362413194)"
-454.59715824565046,"[33.59039828743189, 130.3457058762483]","(2187, 9683)","(33.59038267649318, 130.34578362413194)","(33.590390274857675, 130.34578439947526)"
-574.2869280614466,"[33.59039374444037, 130.3456612845234]","(2187, 9683)","(33.590390274857675, 130.34578439947526)","(33.59038127539549, 130.3457834811628)"
-698.8491669270439,"[33.59033544830381, 130.3456065842233]","(2187, 9683)","(33.59038127539549, 130.3457834811628)","(33.5903795, 130.3457833)"
-825.4550982935564,"[33.59030083942562, 130.3455060852043]","(2187, 9683)","(33.5903795, 130.3457833)","(33.5903795, 130.3457833)"
Path7
1,"[33.59043637060895, 130.3479830968476]","(2184, 9555)","(33.59045202587701, 130.34784141667149)","(33.59045202587701, 130.34784141667149)"
-99.62714181494889,"[33.59034444208591, 130.3479361162804]","(2184, 9555)","(33.59045202587701, 130.34784141667149)","(33.590356077624655, 130.34783081465466)"
-166.1878170381826,"[33.59018591535154, 130.3478986993469]","(2184, 2196)","(33.590356077624655, 130.34783081465466)","(33.59019487854393, 130.3478136053915)"
-174.90343882333946,"[33.59006196147165, 130.3478222481258]","(2184, 2196)","(33.59019487854393, 130.3478136053915)","(33.59006432038102, 130.34779985332267)"
-185.43023563608324,"[33.59004088098518, 130.3476480721779]","(2196, 10498)","(33.59006432038102, 130.34779985332267)","(33.59002413922228, 130.34764643510607)"
-188.95151146290758,"[33.59003666907883, 130.3475057055525]","(2196, 10498)","(33.59002413922228, 130.34764643510607)","(33.590037888620365, 130.3475058248038)"
-196.55699507849545,"[33.59003514985888, 130.3473457620762]","(2196, 10498)","(33.590037888620365, 130.3475058248038)","(33.59005336597271, 130.34734754331552)"
-201.89447459891954,"[33.59007777183651, 130.3472080474071]","(2196, 10498)","(33.59005336597271, 130.34734754331552)","(33.590067108361694, 130.34720700469288)"
-215.8957346402308,"[33.59009964022189, 130.3471676466338]","(2196, 10498)","(33.590067108361694, 130.34720700469288)","(33.590071228601154, 130.3471648684399)"
-220.52634297846814,"[33.59009551632553, 130.3470147271923]","(2196, 10498)","(33.590071228601154, 130.3471648684399)","(33.590086000953214, 130.34701379674382)"
-230.70030333358432,"[33.59007591943591, 130.3468815052233]","(2219, 10498)","(33.590086000953214, 130.34701379674382)","(33.5900989, 130.3468823)"
-236.10589624418583,"[33.5902093593344, 130.3468398806922]","(2201, 2219)","(33.5900989, 130.3468823)","(33.59020748557617, 130.34685266735715)"
-242.85171990202738,"[33.59026007823049, 130.3468067051194]","(2201, 9682)","(33.59020748557617, 130.34685266735715)","(33.5902565, 130.3468088)"
-247.310709378494,"[33.59026629760265, 130.346637591841]","(2185, 9682)","(33.5902565, 130.3468088)","(33.59027405470224, 130.34663839093918)"
-318.78731376614957,"[33.59025816715657, 130.3465322983734]","(2185, 2187)","(33.59027405470224, 130.34663839093918)","(33.5903011, 130.3464652)"
-329.7418825152946,"[33.59031749426722, 130.346363788592]","(2185, 2187)","(33.5903011, 130.3464652)","(33.59031414094653, 130.34636325571722)"
-333.6932413204055,"[33.59033818080425, 130.3462513537429]","(2185, 2187)","(33.59031414094653, 130.34636325571722)","(33.5903319862232, 130.34625069238908)"
-352.297818482181,"[33.59030811401614, 130.3461538468803]","(2185, 2187)","(33.5903319862232, 130.34625069238908)","(33.59034194020347, 130.34615745827517)"
-381.5207683808064,"[33.59033170159309, 130.3459888995908]","(2187, 2210)","(33.59034194020347, 130.34615745827517)","(33.59032584355872, 130.34604135562586)"
-392.60323787407725,"[33.59037564791142, 130.3458742016278]","(2187, 9683)","(33.59032584355872, 130.34604135562586)","(33.59037147769379, 130.34587377470928)"
-398.34109025564464,"[33.59038388732224, 130.3457717580072]","(2187, 9683)","(33.59037147769379, 130.34587377470928)","(33.59038267649318, 130.34578362413194)"
-460.9191502873491,"[33.59039828743189, 130.3457058762483]","(2187, 9683)","(33.59038267649318, 130.34578362413194)","(33.590390274857675, 130.34578439947526)"
-580.6089201031452,"[33.59039374444037, 130.3456612845234]","(2187, 9683)","(33.590390274857675, 130.34578439947526)","(33.59038127539549, 130.3457834811628)"
-705.1711589687426,"[33.59033544830381, 130.3456065842233]","(2187, 9683)","(33.59038127539549, 130.3457834811628)","(33.5903795, 130.3457833)"
-831.777090335255,"[33.59030083942562, 130.3455060852043]","(2187, 9683)","(33.5903795, 130.3457833)","(33.5903795, 130.3457833)"
