prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59414528313427, 130.3514850140832]","(6626, 10192)","(33.59402809982772, 130.3514634706341)","(33.59402809982772, 130.3514634706341)"
-177.94260445892007,"[33.59373248278498, 130.351276924955]","(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-298.5400477270682,"[33.59364657665937, 130.3512731363348]","(6619, 10191)","(33.59373182471157, 130.35127699227624)","(33.5937467, 130.3514224)"
Path3
1,"[33.59414528313427, 130.3514850140832]","(6626, 10192)","(33.59402809982772, 130.3514634706341)","(33.59402809982772, 130.3514634706341)"
-14.66168533754512,"[33.59410509190857, 130.3514377066217]","(10192, 10196)","(33.59402809982772, 130.3514634706341)","(33.594109837151755, 130.35143273023488)"
-30.479953665299796,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.594109837151755, 130.35143273023488)","(33.5940253, 130.3514787)"
-37.99551740834072,"[33.59399326055645, 130.3515038230739]","(6626, 10192)","(33.5940253, 130.3514787)","(33.594006330813215, 130.3515114041374)"
-79.66248215240395,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.594006330813215, 130.3515114041374)","(33.59391693835134, 130.3514720807797)"
-85.59700517009003,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-103.72179004944648,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-109.19415772289042,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-165.8990977794715,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-177.94260445892007,"[33.59373248278498, 130.351276924955]","(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-298.5400477270682,"[33.59364657665937, 130.3512731363348]","(6622, 10191)","(33.59373182471157, 130.35127699227624)","(33.5937467, 130.3514224)"
Path4
1,"[33.59414528313427, 130.3514850140832]","(6626, 10192)","(33.59402809982772, 130.3514634706341)","(33.59402809982772, 130.3514634706341)"
-14.66168533754512,"[33.59410509190857, 130.3514377066217]","(10192, 10196)","(33.59402809982772, 130.3514634706341)","(33.594109837151755, 130.35143273023488)"
-30.479953665299796,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.594109837151755, 130.35143273023488)","(33.5940253, 130.3514787)"
-86.91629798514828,"[33.59399326055645, 130.3515038230739]","(10188, 10192)","(33.5940253, 130.3514787)","(33.593952687006656, 130.35146312085533)"
-108.40552536997416,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.593952687006656, 130.35146312085533)","(33.59391693835134, 130.3514720807797)"
-114.34004838766023,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-132.46483326701667,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-137.9372009404606,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-194.64214099704168,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-206.68564767649025,"[33.59373248278498, 130.351276924955]","(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-306.32765344912707,"[33.59364657665937, 130.3512731363348]","(6616, 10191)","(33.59373182471157, 130.35127699227624)","(33.59373055141724, 130.35126454567188)"
Path5
1,"[33.59414528313427, 130.3514850140832]","(6626, 10192)","(33.59402809982772, 130.3514634706341)","(33.59402809982772, 130.3514634706341)"
-14.66168533754512,"[33.59410509190857, 130.3514377066217]","(10192, 10196)","(33.59402809982772, 130.3514634706341)","(33.594109837151755, 130.35143273023488)"
-30.479953665299796,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.594109837151755, 130.35143273023488)","(33.5940253, 130.3514787)"
-86.91629798514828,"[33.59399326055645, 130.3515038230739]","(10188, 10192)","(33.5940253, 130.3514787)","(33.593952687006656, 130.35146312085533)"
-108.40552536997416,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.593952687006656, 130.35146312085533)","(33.59391693835134, 130.3514720807797)"
-114.34004838766023,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-132.46483326701667,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-137.9372009404606,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-194.64214099704168,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-206.68564767649025,"[33.59373248278498, 130.351276924955]","(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-327.2830909446384,"[33.59364657665937, 130.3512731363348]","(6619, 10191)","(33.59373182471157, 130.35127699227624)","(33.5937467, 130.3514224)"
Path6
1,"[33.59414528313427, 130.3514850140832]","(6626, 10192)","(33.59402809982772, 130.3514634706341)","(33.59402809982772, 130.3514634706341)"
-14.66168533754512,"[33.59410509190857, 130.3514377066217]","(10192, 10196)","(33.59402809982772, 130.3514634706341)","(33.594109837151755, 130.35143273023488)"
-30.479953665299796,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.594109837151755, 130.35143273023488)","(33.5940253, 130.3514787)"
-86.91629798514828,"[33.59399326055645, 130.3515038230739]","(10188, 10192)","(33.5940253, 130.3514787)","(33.593952687006656, 130.35146312085533)"
-108.40552536997416,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.593952687006656, 130.35146312085533)","(33.59391693835134, 130.3514720807797)"
-114.34004838766023,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-132.46483326701667,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-137.9372009404606,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-194.64214099704168,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-206.68564767649025,"[33.59373248278498, 130.351276924955]","(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-327.2830909446384,"[33.59364657665937, 130.3512731363348]","(6622, 10191)","(33.59373182471157, 130.35127699227624)","(33.5937467, 130.3514224)"
Path7
1,"[33.59414528313427, 130.3514850140832]","(6626, 10192)","(33.59402809982772, 130.3514634706341)","(33.59402809982772, 130.3514634706341)"
-14.66168533754512,"[33.59410509190857, 130.3514377066217]","(10192, 10196)","(33.59402809982772, 130.3514634706341)","(33.594109837151755, 130.35143273023488)"
-30.479953665299796,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.594109837151755, 130.35143273023488)","(33.5940253, 130.3514787)"
-37.99551740834072,"[33.59399326055645, 130.3515038230739]","(6626, 10192)","(33.5940253, 130.3514787)","(33.594006330813215, 130.3515114041374)"
-79.66248215240395,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.594006330813215, 130.3515114041374)","(33.59391693835134, 130.3514720807797)"
-85.59700517009003,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-103.72179004944648,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-109.19415772289042,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-165.8990977794715,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-287.43840386419953,"[33.59373248278498, 130.351276924955]","(6619, 10191)","(33.5937598, 130.3514183)","(33.5937467, 130.3514224)"
-383.91381163696826,"[33.59364657665937, 130.3512731363348]","(6616, 10191)","(33.5937467, 130.3514224)","(33.59373055141724, 130.35126454567188)"
