prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
-1556.1903676798288,"[33.59277924246489, 130.3627207373552]","(8411, 8413)","(33.59270349931725, 130.36266179362684)","(33.592726477450235, 130.36264564715805)"
-1618.0036819518004,"[33.59279074598661, 130.3626945509757]","(8411, 8413)","(33.592726477450235, 130.36264564715805)","(33.592746496842075, 130.3626315797625)"
-1737.0282849172274,"[33.5927621133925, 130.3628377526052]","(8411, 8413)","(33.592746496842075, 130.3626315797625)","(33.59265996502408, 130.36269238467207)"
Path3
1,"[33.59394219800233, 130.3629597221784]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.59383093533115, 130.36290917276756)"
-46.599572111979064,"[33.59393648992627, 130.3628515620999]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.5938875177059, 130.36281179600329)"
-56.42306901832546,"[33.59385322410017, 130.3628372961007]","(8875, 8876)","(33.5938875177059, 130.36281179600329)","(33.59386141228101, 130.36284394501286)"
-249.55140740893202,"[33.59378477747887, 130.3627048620306]","(8413, 8875)","(33.59386141228101, 130.36284394501286)","(33.59374864873485, 130.36252203509207)"
-373.2050581630141,"[33.59369752186685, 130.362671585875]","(8413, 8875)","(33.59374864873485, 130.36252203509207)","(33.5937215, 130.3625274)"
-499.2632391945154,"[33.59362039159387, 130.3626268432758]","(8413, 8875)","(33.5937215, 130.3625274)","(33.5937215, 130.3625274)"
-619.9454752917351,"[33.59354255724102, 130.3625492939077]","(8413, 8875)","(33.5937215, 130.3625274)","(33.59368443651757, 130.36246500954272)"
-736.4861371215769,"[33.5934983846113, 130.3624740244172]","(8413, 8875)","(33.59368443651757, 130.36246500954272)","(33.59363986346655, 130.36238997792526)"
-853.1136372386903,"[33.59346752244382, 130.3623838351391]","(8413, 8875)","(33.59363986346655, 130.36238997792526)","(33.593592211191954, 130.36230976292634)"
-982.3715112914149,"[33.59343251961618, 130.3622847778074]","(6912, 8413)","(33.593592211191954, 130.36230976292634)","(33.593477, 130.3621087)"
-1025.5305509525954,"[33.59337448331862, 130.3622491547189]","(8411, 8413)","(33.593477, 130.3621087)","(33.59334265656909, 130.36220454312198)"
-1065.4370574500635,"[33.59328673317432, 130.362318137782]","(8411, 8413)","(33.59334265656909, 130.36220454312198)","(33.593251232241506, 130.3622689227902)"
-1095.592265386577,"[33.59319692108183, 130.3623804153226]","(8411, 8413)","(33.593251232241506, 130.3622689227902)","(33.59316690223989, 130.36233802995568)"
-1105.1567640926662,"[33.59310451059937, 130.362410590174]","(8411, 8413)","(33.59316690223989, 130.36233802995568)","(33.593091128709034, 130.36239169549668)"
-1131.1867290578705,"[33.59303188979029, 130.3624921796195]","(8411, 8413)","(33.593091128709034, 130.36239169549668)","(33.59300428431243, 130.36245320182312)"
-1169.8853402323102,"[33.59294951244592, 130.3625652027599]","(8411, 8413)","(33.59300428431243, 130.36245320182312)","(33.59291498282059, 130.36251644835284)"
-1224.8077899680234,"[33.59289045355617, 130.3626223505757]","(8411, 8413)","(33.59291498282059, 130.36251644835284)","(33.592848698092226, 130.36256339358246)"
-1319.6419693237322,"[33.59286164495497, 130.3626697921477]","(8411, 8413)","(33.592848698092226, 130.36256339358246)","(33.59281127957898, 130.3625866562868)"
-1376.048950854713,"[33.59277165684252, 130.3627036047451]","(8411, 8413)","(33.59281127957898, 130.3625866562868)","(33.59272945867344, 130.36264355228693)"
-1469.929113643349,"[33.59275854754596, 130.3627401330791]","(8411, 8413)","(33.59272945867344, 130.36264355228693)","(33.59270349931725, 130.36266179362684)"
-1556.1903676798288,"[33.59277924246489, 130.3627207373552]","(8411, 8413)","(33.59270349931725, 130.36266179362684)","(33.592726477450235, 130.36264564715805)"
-1618.0036819518004,"[33.59279074598661, 130.3626945509757]","(8411, 8413)","(33.592726477450235, 130.36264564715805)","(33.592746496842075, 130.3626315797625)"
-1737.0282849172274,"[33.5927621133925, 130.3628377526052]","(8411, 8413)","(33.592746496842075, 130.3626315797625)","(33.59265996502408, 130.36269238467207)"
Path4
1,"[33.59394219800233, 130.3629597221784]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.59383093533115, 130.36290917276756)"
-46.599572111979064,"[33.59393648992627, 130.3628515620999]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.5938875177059, 130.36281179600329)"
-56.42306901832546,"[33.59385322410017, 130.3628372961007]","(8875, 8876)","(33.5938875177059, 130.36281179600329)","(33.59386141228101, 130.36284394501286)"
-181.4008195618202,"[33.59378477747887, 130.3627048620306]","(8875, 8876)","(33.59386141228101, 130.36284394501286)","(33.593899021158116, 130.36279762942308)"
-375.8411350197541,"[33.59369752186685, 130.362671585875]","(8413, 8875)","(33.593899021158116, 130.36279762942308)","(33.5937215, 130.3625274)"
-501.8993160512554,"[33.59362039159387, 130.3626268432758]","(8413, 8875)","(33.5937215, 130.3625274)","(33.5937215, 130.3625274)"
-622.5815521484751,"[33.59354255724102, 130.3625492939077]","(8413, 8875)","(33.5937215, 130.3625274)","(33.59368443651757, 130.36246500954272)"
-739.122213978317,"[33.5934983846113, 130.3624740244172]","(8413, 8875)","(33.59368443651757, 130.36246500954272)","(33.59363986346655, 130.36238997792526)"
-855.7497140954304,"[33.59346752244382, 130.3623838351391]","(8413, 8875)","(33.59363986346655, 130.36238997792526)","(33.593592211191954, 130.36230976292634)"
-972.3943855061689,"[33.59343251961618, 130.3622847778074]","(8413, 8875)","(33.593592211191954, 130.36230976292634)","(33.593539584887864, 130.36222117494265)"
-1028.1418076603998,"[33.59337448331862, 130.3622491547189]","(8411, 8413)","(33.593539584887864, 130.36222117494265)","(33.59334265656909, 130.36220454312198)"
-1068.048314157868,"[33.59328673317432, 130.362318137782]","(8411, 8413)","(33.59334265656909, 130.36220454312198)","(33.593251232241506, 130.3622689227902)"
-1098.2035220943815,"[33.59319692108183, 130.3623804153226]","(8411, 8413)","(33.593251232241506, 130.3622689227902)","(33.59316690223989, 130.36233802995568)"
-1107.7680208004706,"[33.59310451059937, 130.362410590174]","(8411, 8413)","(33.59316690223989, 130.36233802995568)","(33.593091128709034, 130.36239169549668)"
-1133.7979857656749,"[33.59303188979029, 130.3624921796195]","(8411, 8413)","(33.593091128709034, 130.36239169549668)","(33.59300428431243, 130.36245320182312)"
-1172.4965969401146,"[33.59294951244592, 130.3625652027599]","(8411, 8413)","(33.59300428431243, 130.36245320182312)","(33.59291498282059, 130.36251644835284)"
-1227.4190466758278,"[33.59289045355617, 130.3626223505757]","(8411, 8413)","(33.59291498282059, 130.36251644835284)","(33.592848698092226, 130.36256339358246)"
-1322.2532260315365,"[33.59286164495497, 130.3626697921477]","(8411, 8413)","(33.592848698092226, 130.36256339358246)","(33.59281127957898, 130.3625866562868)"
-1378.6602075625174,"[33.59277165684252, 130.3627036047451]","(8411, 8413)","(33.59281127957898, 130.3625866562868)","(33.59272945867344, 130.36264355228693)"
-1472.5403703511533,"[33.59275854754596, 130.3627401330791]","(8411, 8413)","(33.59272945867344, 130.36264355228693)","(33.59270349931725, 130.36266179362684)"
-1558.8016243876332,"[33.59277924246489, 130.3627207373552]","(8411, 8413)","(33.59270349931725, 130.36266179362684)","(33.592726477450235, 130.36264564715805)"
-1620.6149386596048,"[33.59279074598661, 130.3626945509757]","(8411, 8413)","(33.592726477450235, 130.36264564715805)","(33.592746496842075, 130.3626315797625)"
-1739.6395416250318,"[33.5927621133925, 130.3628377526052]","(8411, 8413)","(33.592746496842075, 130.3626315797625)","(33.59265996502408, 130.36269238467207)"
Path5
1,"[33.59394219800233, 130.3629597221784]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.59383093533115, 130.36290917276756)"
-46.599572111979064,"[33.59393648992627, 130.3628515620999]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.5938875177059, 130.36281179600329)"
-56.42306901832546,"[33.59385322410017, 130.3628372961007]","(8875, 8876)","(33.5938875177059, 130.36281179600329)","(33.59386141228101, 130.36284394501286)"
-181.4008195618202,"[33.59378477747887, 130.3627048620306]","(8875, 8876)","(33.59386141228101, 130.36284394501286)","(33.593899021158116, 130.36279762942308)"
-375.8411350197541,"[33.59369752186685, 130.362671585875]","(8413, 8875)","(33.593899021158116, 130.36279762942308)","(33.5937215, 130.3625274)"
-501.8993160512554,"[33.59362039159387, 130.3626268432758]","(8413, 8875)","(33.5937215, 130.3625274)","(33.5937215, 130.3625274)"
-622.5815521484751,"[33.59354255724102, 130.3625492939077]","(8413, 8875)","(33.5937215, 130.3625274)","(33.59368443651757, 130.36246500954272)"
-739.122213978317,"[33.5934983846113, 130.3624740244172]","(8413, 8875)","(33.59368443651757, 130.36246500954272)","(33.59363986346655, 130.36238997792526)"
-855.7497140954304,"[33.59346752244382, 130.3623838351391]","(8413, 8875)","(33.59363986346655, 130.36238997792526)","(33.593592211191954, 130.36230976292634)"
-985.0075881481549,"[33.59343251961618, 130.3622847778074]","(8413, 8679)","(33.593592211191954, 130.36230976292634)","(33.593477, 130.3621087)"
-1028.1666278093355,"[33.59337448331862, 130.3622491547189]","(8411, 8413)","(33.593477, 130.3621087)","(33.59334265656909, 130.36220454312198)"
-1068.0731343068037,"[33.59328673317432, 130.362318137782]","(8411, 8413)","(33.59334265656909, 130.36220454312198)","(33.593251232241506, 130.3622689227902)"
-1098.2283422433172,"[33.59319692108183, 130.3623804153226]","(8411, 8413)","(33.593251232241506, 130.3622689227902)","(33.59316690223989, 130.36233802995568)"
-1107.7928409494064,"[33.59310451059937, 130.362410590174]","(8411, 8413)","(33.59316690223989, 130.36233802995568)","(33.593091128709034, 130.36239169549668)"
-1133.8228059146106,"[33.59303188979029, 130.3624921796195]","(8411, 8413)","(33.593091128709034, 130.36239169549668)","(33.59300428431243, 130.36245320182312)"
-1172.5214170890504,"[33.59294951244592, 130.3625652027599]","(8411, 8413)","(33.59300428431243, 130.36245320182312)","(33.59291498282059, 130.36251644835284)"
-1227.4438668247635,"[33.59289045355617, 130.3626223505757]","(8411, 8413)","(33.59291498282059, 130.36251644835284)","(33.592848698092226, 130.36256339358246)"
-1322.2780461804723,"[33.59286164495497, 130.3626697921477]","(8411, 8413)","(33.592848698092226, 130.36256339358246)","(33.59281127957898, 130.3625866562868)"
-1378.6850277114531,"[33.59277165684252, 130.3627036047451]","(8411, 8413)","(33.59281127957898, 130.3625866562868)","(33.59272945867344, 130.36264355228693)"
-1472.565190500089,"[33.59275854754596, 130.3627401330791]","(8411, 8413)","(33.59272945867344, 130.36264355228693)","(33.59270349931725, 130.36266179362684)"
-1558.826444536569,"[33.59277924246489, 130.3627207373552]","(8411, 8413)","(33.59270349931725, 130.36266179362684)","(33.592726477450235, 130.36264564715805)"
-1620.6397588085406,"[33.59279074598661, 130.3626945509757]","(8411, 8413)","(33.592726477450235, 130.36264564715805)","(33.592746496842075, 130.3626315797625)"
-1739.6643617739676,"[33.5927621133925, 130.3628377526052]","(8411, 8413)","(33.592746496842075, 130.3626315797625)","(33.59265996502408, 130.36269238467207)"
Path6
1,"[33.59394219800233, 130.3629597221784]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.59383093533115, 130.36290917276756)"
-46.599572111979064,"[33.59393648992627, 130.3628515620999]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.5938875177059, 130.36281179600329)"
-56.42306901832546,"[33.59385322410017, 130.3628372961007]","(8875, 8876)","(33.5938875177059, 130.36281179600329)","(33.59386141228101, 130.36284394501286)"
-181.4008195618202,"[33.59378477747887, 130.3627048620306]","(8875, 8876)","(33.59386141228101, 130.36284394501286)","(33.593899021158116, 130.36279762942308)"
-375.8411350197541,"[33.59369752186685, 130.362671585875]","(8413, 8875)","(33.593899021158116, 130.36279762942308)","(33.5937215, 130.3625274)"
-501.8993160512554,"[33.59362039159387, 130.3626268432758]","(8413, 8875)","(33.5937215, 130.3625274)","(33.5937215, 130.3625274)"
-622.5815521484751,"[33.59354255724102, 130.3625492939077]","(8413, 8875)","(33.5937215, 130.3625274)","(33.59368443651757, 130.36246500954272)"
-739.122213978317,"[33.5934983846113, 130.3624740244172]","(8413, 8875)","(33.59368443651757, 130.36246500954272)","(33.59363986346655, 130.36238997792526)"
-855.7497140954304,"[33.59346752244382, 130.3623838351391]","(8413, 8875)","(33.59363986346655, 130.36238997792526)","(33.593592211191954, 130.36230976292634)"
-985.0075881481549,"[33.59343251961618, 130.3622847778074]","(6912, 8413)","(33.593592211191954, 130.36230976292634)","(33.593477, 130.3621087)"
-1028.1666278093355,"[33.59337448331862, 130.3622491547189]","(8411, 8413)","(33.593477, 130.3621087)","(33.59334265656909, 130.36220454312198)"
-1068.0731343068037,"[33.59328673317432, 130.362318137782]","(8411, 8413)","(33.59334265656909, 130.36220454312198)","(33.593251232241506, 130.3622689227902)"
-1098.2283422433172,"[33.59319692108183, 130.3623804153226]","(8411, 8413)","(33.593251232241506, 130.3622689227902)","(33.59316690223989, 130.36233802995568)"
-1107.7928409494064,"[33.59310451059937, 130.362410590174]","(8411, 8413)","(33.59316690223989, 130.36233802995568)","(33.593091128709034, 130.36239169549668)"
-1133.8228059146106,"[33.59303188979029, 130.3624921796195]","(8411, 8413)","(33.593091128709034, 130.36239169549668)","(33.59300428431243, 130.36245320182312)"
-1172.5214170890504,"[33.59294951244592, 130.3625652027599]","(8411, 8413)","(33.59300428431243, 130.36245320182312)","(33.59291498282059, 130.36251644835284)"
-1227.4438668247635,"[33.59289045355617, 130.3626223505757]","(8411, 8413)","(33.59291498282059, 130.36251644835284)","(33.592848698092226, 130.36256339358246)"
-1322.2780461804723,"[33.59286164495497, 130.3626697921477]","(8411, 8413)","(33.592848698092226, 130.36256339358246)","(33.59281127957898, 130.3625866562868)"
-1378.6850277114531,"[33.59277165684252, 130.3627036047451]","(8411, 8413)","(33.59281127957898, 130.3625866562868)","(33.59272945867344, 130.36264355228693)"
-1472.565190500089,"[33.59275854754596, 130.3627401330791]","(8411, 8413)","(33.59272945867344, 130.36264355228693)","(33.59270349931725, 130.36266179362684)"
-1558.826444536569,"[33.59277924246489, 130.3627207373552]","(8411, 8413)","(33.59270349931725, 130.36266179362684)","(33.592726477450235, 130.36264564715805)"
-1620.6397588085406,"[33.59279074598661, 130.3626945509757]","(8411, 8413)","(33.592726477450235, 130.36264564715805)","(33.592746496842075, 130.3626315797625)"
-1739.6643617739676,"[33.5927621133925, 130.3628377526052]","(8411, 8413)","(33.592746496842075, 130.3626315797625)","(33.59265996502408, 130.36269238467207)"
Path7
1,"[33.59394219800233, 130.3629597221784]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.59383093533115, 130.36290917276756)"
-46.599572111979064,"[33.59393648992627, 130.3628515620999]","(8875, 8876)","(33.59383093533115, 130.36290917276756)","(33.5938875177059, 130.36281179600329)"
-56.42306901832546,"[33.59385322410017, 130.3628372961007]","(8875, 8876)","(33.5938875177059, 130.36281179600329)","(33.59386141228101, 130.36284394501286)"
-181.4008195618202,"[33.59378477747887, 130.3627048620306]","(8875, 8876)","(33.59386141228101, 130.36284394501286)","(33.593899021158116, 130.36279762942308)"
-305.18472749602057,"[33.59369752186685, 130.362671585875]","(8875, 8876)","(33.593899021158116, 130.36279762942308)","(33.59388063300315, 130.36282027456187)"
-503.21427456323465,"[33.59362039159387, 130.3626268432758]","(8413, 8875)","(33.59388063300315, 130.36282027456187)","(33.5937215, 130.3625274)"
-623.8965106604544,"[33.59354255724102, 130.3625492939077]","(8413, 8875)","(33.5937215, 130.3625274)","(33.59368443651757, 130.36246500954272)"
-740.4371724902962,"[33.5934983846113, 130.3624740244172]","(8413, 8875)","(33.59368443651757, 130.36246500954272)","(33.59363986346655, 130.36238997792526)"
-857.0646726074096,"[33.59346752244382, 130.3623838351391]","(8413, 8875)","(33.59363986346655, 130.36238997792526)","(33.593592211191954, 130.36230976292634)"
-973.7093440181482,"[33.59343251961618, 130.3622847778074]","(8413, 8875)","(33.593592211191954, 130.36230976292634)","(33.593539584887864, 130.36222117494265)"
-1029.456766172379,"[33.59337448331862, 130.3622491547189]","(8411, 8413)","(33.593539584887864, 130.36222117494265)","(33.59334265656909, 130.36220454312198)"
-1069.3632726698472,"[33.59328673317432, 130.362318137782]","(8411, 8413)","(33.59334265656909, 130.36220454312198)","(33.593251232241506, 130.3622689227902)"
-1099.5184806063608,"[33.59319692108183, 130.3623804153226]","(8411, 8413)","(33.593251232241506, 130.3622689227902)","(33.59316690223989, 130.36233802995568)"
-1109.0829793124499,"[33.59310451059937, 130.362410590174]","(8411, 8413)","(33.59316690223989, 130.36233802995568)","(33.593091128709034, 130.36239169549668)"
-1135.1129442776542,"[33.59303188979029, 130.3624921796195]","(8411, 8413)","(33.593091128709034, 130.36239169549668)","(33.59300428431243, 130.36245320182312)"
-1173.8115554520937,"[33.59294951244592, 130.3625652027599]","(8411, 8413)","(33.59300428431243, 130.36245320182312)","(33.59291498282059, 130.36251644835284)"
-1228.7340051878068,"[33.59289045355617, 130.3626223505757]","(8411, 8413)","(33.59291498282059, 130.36251644835284)","(33.592848698092226, 130.36256339358246)"
-1323.5681845435156,"[33.59286164495497, 130.3626697921477]","(8411, 8413)","(33.592848698092226, 130.36256339358246)","(33.59281127957898, 130.3625866562868)"
-1379.9751660744964,"[33.59277165684252, 130.3627036047451]","(8411, 8413)","(33.59281127957898, 130.3625866562868)","(33.59272945867344, 130.36264355228693)"
-1473.8553288631324,"[33.59275854754596, 130.3627401330791]","(8411, 8413)","(33.59272945867344, 130.36264355228693)","(33.59270349931725, 130.36266179362684)"
-1560.1165828996122,"[33.59277924246489, 130.3627207373552]","(8411, 8413)","(33.59270349931725, 130.36266179362684)","(33.592726477450235, 130.36264564715805)"
-1621.929897171584,"[33.59279074598661, 130.3626945509757]","(8411, 8413)","(33.592726477450235, 130.36264564715805)","(33.592746496842075, 130.3626315797625)"
-1740.9545001370109,"[33.5927621133925, 130.3628377526052]","(8411, 8413)","(33.592746496842075, 130.3626315797625)","(33.59265996502408, 130.36269238467207)"
