prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-413.34642905728316,"[33.59107754848301, 130.3460595087431]","(9680, 9681)","(33.59105882777957, 130.34622019470908)","(33.59107611534462, 130.34605935470512)"
-421.77182388156837,"[33.59107199966311, 130.3459093888573]","(9680, 9681)","(33.59107611534462, 130.34605935470512)","(33.591091836295575, 130.34591140815522)"
-479.41195324107764,"[33.59109283078796, 130.3458189104035]","(9680, 9681)","(33.591091836295575, 130.34591140815522)","(33.5910937, 130.3458931)"
-543.9449443552603,"[33.59121228757649, 130.3458259721569]","(9680, 9681)","(33.5910937, 130.3458931)","(33.591199878934304, 130.34590804822548)"
-576.0410329412614,"[33.59132763932794, 130.3458692646868]","(9680, 9681)","(33.591199878934304, 130.34590804822548)","(33.59131905193845, 130.34592606535512)"
-592.8197961825356,"[33.59144452496766, 130.3459117190264]","(9680, 9681)","(33.59131905193845, 130.34592606535512)","(33.591433903092486, 130.3459480357234)"
-721.8124929512813,"[33.59155900081023, 130.3458937817536]","(9680, 9681)","(33.591433903092486, 130.3459480357234)","(33.5914372, 130.345949)"
Path3
1,"[33.59048461914062, 130.3481110465995]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.590442268669186, 130.34810880434102)"
-3.4246798468093465,"[33.59044782786437, 130.3480046604462]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.59044778272563, 130.3480046580563)"
-14.951965620011212,"[33.590550804542, 130.3478377797923]","(2203, 9555)","(33.59044778272563, 130.3480046580563)","(33.59054920104917, 130.3478522112277)"
-45.60889423023501,"[33.59060000631361, 130.3478061548717]","(2203, 10500)","(33.59054920104917, 130.3478522112277)","(33.590639002269604, 130.34780872826312)"
-51.75237423859083,"[33.59065319996662, 130.3477269039772]","(2203, 10500)","(33.590639002269604, 130.34780872826312)","(33.59064444010333, 130.34772632590298)"
-56.56278671464342,"[33.59066196953281, 130.3476213758163]","(2203, 10500)","(33.59064444010333, 130.34772632590298)","(33.59065141186644, 130.34762067910282)"
-60.12183068723679,"[33.59068118504583, 130.3474715912066]","(2203, 10500)","(33.59065141186644, 130.34762067910282)","(33.59068175960606, 130.34747211111716)"
-63.60881626500921,"[33.59074846658259, 130.3473953829429]","(2203, 10500)","(33.59068175960606, 130.34747211111716)","(33.590749963790515, 130.34739673774286)"
-69.10695176501906,"[33.59080119713544, 130.3472470735482]","(2203, 10500)","(33.590749963790515, 130.34739673774286)","(33.590812589018824, 130.34724857592605)"
-72.67641586159637,"[33.59082726066335, 130.3471214162468]","(2203, 10500)","(33.590812589018824, 130.34724857592605)","(33.59082932314669, 130.34712168825004)"
-86.05938060688237,"[33.5908648430217, 130.3470160347692]","(2199, 10500)","(33.59082932314669, 130.34712168825004)","(33.5908462, 130.3469938)"
-111.06877896049716,"[33.59095196242779, 130.3469123087175]","(2197, 2199)","(33.5908462, 130.3469938)","(33.590944943956224, 130.34696040462387)"
-237.11538628752606,"[33.59098469375967, 130.346739046397]","(2197, 9680)","(33.590944943956224, 130.34696040462387)","(33.5909678, 130.3469118)"
-365.8788161457777,"[33.59100738357156, 130.3465975095801]","(9680, 9683)","(33.5909678, 130.3469118)","(33.590957808174664, 130.3469102159301)"
-400.15327618419485,"[33.5910187976282, 130.3464833019584]","(9680, 9681)","(33.590957808174664, 130.3469102159301)","(33.59102127932168, 130.34648398898088)"
-405.22520235038434,"[33.59104698806404, 130.3463603017203]","(9680, 9681)","(33.59102127932168, 130.34648398898088)","(33.59103597231758, 130.34635916090147)"
-409.8930461494322,"[33.59106876424848, 130.3462212627105]","(9680, 9681)","(33.59103597231758, 130.34635916090147)","(33.59105882777957, 130.34622019470908)"
-413.34688194073425,"[33.59107754848301, 130.3460595087431]","(9680, 9681)","(33.59105882777957, 130.34622019470908)","(33.59107611534462, 130.34605935470512)"
-421.77227676501946,"[33.59107199966311, 130.3459093888573]","(9680, 9681)","(33.59107611534462, 130.34605935470512)","(33.591091836295575, 130.34591140815522)"
-479.41240612452873,"[33.59109283078796, 130.3458189104035]","(9680, 9681)","(33.591091836295575, 130.34591140815522)","(33.5910937, 130.3458931)"
-543.9453972387114,"[33.59121228757649, 130.3458259721569]","(9680, 9681)","(33.5910937, 130.3458931)","(33.591199878934304, 130.34590804822548)"
-576.0414858247125,"[33.59132763932794, 130.3458692646868]","(9680, 9681)","(33.591199878934304, 130.34590804822548)","(33.59131905193845, 130.34592606535512)"
-592.8202490659867,"[33.59144452496766, 130.3459117190264]","(9680, 9681)","(33.59131905193845, 130.34592606535512)","(33.591433903092486, 130.3459480357234)"
-721.8129458347324,"[33.59155900081023, 130.3458937817536]","(9680, 9681)","(33.591433903092486, 130.3459480357234)","(33.5914372, 130.345949)"
Path4
1,"[33.59048461914062, 130.3481110465995]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.590442268669186, 130.34810880434102)"
-3.4246798468093465,"[33.59044782786437, 130.3480046604462]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.59044778272563, 130.3480046580563)"
-14.951965620011212,"[33.590550804542, 130.3478377797923]","(2203, 9555)","(33.59044778272563, 130.3480046580563)","(33.59054920104917, 130.3478522112277)"
-45.60889423023501,"[33.59060000631361, 130.3478061548717]","(2203, 10500)","(33.59054920104917, 130.3478522112277)","(33.590639002269604, 130.34780872826312)"
-51.75237423859083,"[33.59065319996662, 130.3477269039772]","(2203, 10500)","(33.590639002269604, 130.34780872826312)","(33.59064444010333, 130.34772632590298)"
-56.56278671464342,"[33.59066196953281, 130.3476213758163]","(2203, 10500)","(33.59064444010333, 130.34772632590298)","(33.59065141186644, 130.34762067910282)"
-60.12183068723679,"[33.59068118504583, 130.3474715912066]","(2203, 10500)","(33.59065141186644, 130.34762067910282)","(33.59068175960606, 130.34747211111716)"
-63.60881626500921,"[33.59074846658259, 130.3473953829429]","(2203, 10500)","(33.59068175960606, 130.34747211111716)","(33.590749963790515, 130.34739673774286)"
-69.10695176501906,"[33.59080119713544, 130.3472470735482]","(2203, 10500)","(33.590749963790515, 130.34739673774286)","(33.590812589018824, 130.34724857592605)"
-72.67641586159637,"[33.59082726066335, 130.3471214162468]","(2203, 10500)","(33.590812589018824, 130.34724857592605)","(33.59082932314669, 130.34712168825004)"
-86.05938060688237,"[33.5908648430217, 130.3470160347692]","(2199, 10500)","(33.59082932314669, 130.34712168825004)","(33.5908462, 130.3469938)"
-111.06877896049716,"[33.59095196242779, 130.3469123087175]","(2197, 2199)","(33.5908462, 130.3469938)","(33.590944943956224, 130.34696040462387)"
-237.11538628752606,"[33.59098469375967, 130.346739046397]","(2197, 9680)","(33.590944943956224, 130.34696040462387)","(33.5909678, 130.3469118)"
-366.9988969254332,"[33.59100738357156, 130.3465975095801]","(2197, 9680)","(33.5909678, 130.3469118)","(33.5909678, 130.3469118)"
-400.15327618419485,"[33.5910187976282, 130.3464833019584]","(9680, 9681)","(33.5909678, 130.3469118)","(33.59102127932168, 130.34648398898088)"
-405.22520235038434,"[33.59104698806404, 130.3463603017203]","(9680, 9681)","(33.59102127932168, 130.34648398898088)","(33.59103597231758, 130.34635916090147)"
-409.8930461494322,"[33.59106876424848, 130.3462212627105]","(9680, 9681)","(33.59103597231758, 130.34635916090147)","(33.59105882777957, 130.34622019470908)"
-413.34688194073425,"[33.59107754848301, 130.3460595087431]","(9680, 9681)","(33.59105882777957, 130.34622019470908)","(33.59107611534462, 130.34605935470512)"
-421.77227676501946,"[33.59107199966311, 130.3459093888573]","(9680, 9681)","(33.59107611534462, 130.34605935470512)","(33.591091836295575, 130.34591140815522)"
-479.41240612452873,"[33.59109283078796, 130.3458189104035]","(9680, 9681)","(33.591091836295575, 130.34591140815522)","(33.5910937, 130.3458931)"
-543.9453972387114,"[33.59121228757649, 130.3458259721569]","(9680, 9681)","(33.5910937, 130.3458931)","(33.591199878934304, 130.34590804822548)"
-576.0414858247125,"[33.59132763932794, 130.3458692646868]","(9680, 9681)","(33.591199878934304, 130.34590804822548)","(33.59131905193845, 130.34592606535512)"
-592.8202490659867,"[33.59144452496766, 130.3459117190264]","(9680, 9681)","(33.59131905193845, 130.34592606535512)","(33.591433903092486, 130.3459480357234)"
-721.8129458347324,"[33.59155900081023, 130.3458937817536]","(9680, 9681)","(33.591433903092486, 130.3459480357234)","(33.5914372, 130.345949)"
Path5
1,"[33.59048461914062, 130.3481110465995]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.590442268669186, 130.34810880434102)"
-3.4246798468093465,"[33.59044782786437, 130.3480046604462]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.59044778272563, 130.3480046580563)"
-14.951965620011212,"[33.590550804542, 130.3478377797923]","(2203, 9555)","(33.59044778272563, 130.3480046580563)","(33.59054920104917, 130.3478522112277)"
-45.60889423023501,"[33.59060000631361, 130.3478061548717]","(2203, 10500)","(33.59054920104917, 130.3478522112277)","(33.590639002269604, 130.34780872826312)"
-51.75237423859083,"[33.59065319996662, 130.3477269039772]","(2203, 10500)","(33.590639002269604, 130.34780872826312)","(33.59064444010333, 130.34772632590298)"
-56.56278671464342,"[33.59066196953281, 130.3476213758163]","(2203, 10500)","(33.59064444010333, 130.34772632590298)","(33.59065141186644, 130.34762067910282)"
-60.12183068723679,"[33.59068118504583, 130.3474715912066]","(2203, 10500)","(33.59065141186644, 130.34762067910282)","(33.59068175960606, 130.34747211111716)"
-63.60881626500921,"[33.59074846658259, 130.3473953829429]","(2203, 10500)","(33.59068175960606, 130.34747211111716)","(33.590749963790515, 130.34739673774286)"
-69.10695176501906,"[33.59080119713544, 130.3472470735482]","(2203, 10500)","(33.590749963790515, 130.34739673774286)","(33.590812589018824, 130.34724857592605)"
-72.67641586159637,"[33.59082726066335, 130.3471214162468]","(2203, 10500)","(33.590812589018824, 130.34724857592605)","(33.59082932314669, 130.34712168825004)"
-86.05938060688237,"[33.5908648430217, 130.3470160347692]","(2199, 10500)","(33.59082932314669, 130.34712168825004)","(33.5908462, 130.3469938)"
-111.06877896049716,"[33.59095196242779, 130.3469123087175]","(2197, 2199)","(33.5908462, 130.3469938)","(33.590944943956224, 130.34696040462387)"
-241.9133228760588,"[33.59098469375967, 130.346739046397]","(2166, 2197)","(33.590944943956224, 130.34696040462387)","(33.5909641, 130.3469632)"
-366.9988969254332,"[33.59100738357156, 130.3465975095801]","(2197, 9680)","(33.5909641, 130.3469632)","(33.5909678, 130.3469118)"
-400.15327618419485,"[33.5910187976282, 130.3464833019584]","(9680, 9681)","(33.5909678, 130.3469118)","(33.59102127932168, 130.34648398898088)"
-405.22520235038434,"[33.59104698806404, 130.3463603017203]","(9680, 9681)","(33.59102127932168, 130.34648398898088)","(33.59103597231758, 130.34635916090147)"
-409.8930461494322,"[33.59106876424848, 130.3462212627105]","(9680, 9681)","(33.59103597231758, 130.34635916090147)","(33.59105882777957, 130.34622019470908)"
-413.34688194073425,"[33.59107754848301, 130.3460595087431]","(9680, 9681)","(33.59105882777957, 130.34622019470908)","(33.59107611534462, 130.34605935470512)"
-421.77227676501946,"[33.59107199966311, 130.3459093888573]","(9680, 9681)","(33.59107611534462, 130.34605935470512)","(33.591091836295575, 130.34591140815522)"
-479.41240612452873,"[33.59109283078796, 130.3458189104035]","(9680, 9681)","(33.591091836295575, 130.34591140815522)","(33.5910937, 130.3458931)"
-543.9453972387114,"[33.59121228757649, 130.3458259721569]","(9680, 9681)","(33.5910937, 130.3458931)","(33.591199878934304, 130.34590804822548)"
-576.0414858247125,"[33.59132763932794, 130.3458692646868]","(9680, 9681)","(33.591199878934304, 130.34590804822548)","(33.59131905193845, 130.34592606535512)"
-592.8202490659867,"[33.59144452496766, 130.3459117190264]","(9680, 9681)","(33.59131905193845, 130.34592606535512)","(33.591433903092486, 130.3459480357234)"
-721.8129458347324,"[33.59155900081023, 130.3458937817536]","(9680, 9681)","(33.591433903092486, 130.3459480357234)","(33.5914372, 130.345949)"
Path6
1,"[33.59048461914062, 130.3481110465995]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.590442268669186, 130.34810880434102)"
-3.4246798468093465,"[33.59044782786437, 130.3480046604462]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.59044778272563, 130.3480046580563)"
-14.951965620011212,"[33.590550804542, 130.3478377797923]","(2203, 9555)","(33.59044778272563, 130.3480046580563)","(33.59054920104917, 130.3478522112277)"
-45.60889423023501,"[33.59060000631361, 130.3478061548717]","(2203, 10500)","(33.59054920104917, 130.3478522112277)","(33.590639002269604, 130.34780872826312)"
-51.75237423859083,"[33.59065319996662, 130.3477269039772]","(2203, 10500)","(33.590639002269604, 130.34780872826312)","(33.59064444010333, 130.34772632590298)"
-56.56278671464342,"[33.59066196953281, 130.3476213758163]","(2203, 10500)","(33.59064444010333, 130.34772632590298)","(33.59065141186644, 130.34762067910282)"
-60.12183068723679,"[33.59068118504583, 130.3474715912066]","(2203, 10500)","(33.59065141186644, 130.34762067910282)","(33.59068175960606, 130.34747211111716)"
-63.60881626500921,"[33.59074846658259, 130.3473953829429]","(2203, 10500)","(33.59068175960606, 130.34747211111716)","(33.590749963790515, 130.34739673774286)"
-69.10695176501906,"[33.59080119713544, 130.3472470735482]","(2203, 10500)","(33.590749963790515, 130.34739673774286)","(33.590812589018824, 130.34724857592605)"
-72.67641586159637,"[33.59082726066335, 130.3471214162468]","(2203, 10500)","(33.590812589018824, 130.34724857592605)","(33.59082932314669, 130.34712168825004)"
-86.05938060688237,"[33.5908648430217, 130.3470160347692]","(2199, 10500)","(33.59082932314669, 130.34712168825004)","(33.5908462, 130.3469938)"
-111.06877896049716,"[33.59095196242779, 130.3469123087175]","(2197, 2199)","(33.5908462, 130.3469938)","(33.590944943956224, 130.34696040462387)"
-233.69743602202988,"[33.59098469375967, 130.346739046397]","(2199, 2200)","(33.590944943956224, 130.34696040462387)","(33.5908524, 130.3469469)"
-363.580946659937,"[33.59100738357156, 130.3465975095801]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-490.76834909943835,"[33.5910187976282, 130.3464833019584]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-619.1176724166388,"[33.59104698806404, 130.3463603017203]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-748.7549011935445,"[33.59106876424848, 130.3462212627105]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-880.3022809789419,"[33.59107754848301, 130.3460595087431]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1010.7539151368189,"[33.59107199966311, 130.3459093888573]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1135.981710059787,"[33.59109283078796, 130.3458189104035]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1265.8137107856737,"[33.59121228757649, 130.3458259721569]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1395.7853798995584,"[33.59132763932794, 130.3458692646868]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1525.8972468260229,"[33.59144452496766, 130.3459117190264]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1655.267267094285,"[33.59155900081023, 130.3458937817536]","(2199, 2200)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
Path7
1,"[33.59048461914062, 130.3481110465995]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.590442268669186, 130.34810880434102)"
-3.4246798468093465,"[33.59044782786437, 130.3480046604462]","(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.59044778272563, 130.3480046580563)"
-14.951965620011212,"[33.590550804542, 130.3478377797923]","(2203, 9555)","(33.59044778272563, 130.3480046580563)","(33.59054920104917, 130.3478522112277)"
-45.60889423023501,"[33.59060000631361, 130.3478061548717]","(2203, 10500)","(33.59054920104917, 130.3478522112277)","(33.590639002269604, 130.34780872826312)"
-51.75237423859083,"[33.59065319996662, 130.3477269039772]","(2203, 10500)","(33.590639002269604, 130.34780872826312)","(33.59064444010333, 130.34772632590298)"
-56.56278671464342,"[33.59066196953281, 130.3476213758163]","(2203, 10500)","(33.59064444010333, 130.34772632590298)","(33.59065141186644, 130.34762067910282)"
-60.12183068723679,"[33.59068118504583, 130.3474715912066]","(2203, 10500)","(33.59065141186644, 130.34762067910282)","(33.59068175960606, 130.34747211111716)"
-63.60881626500921,"[33.59074846658259, 130.3473953829429]","(2203, 10500)","(33.59068175960606, 130.34747211111716)","(33.590749963790515, 130.34739673774286)"
-69.10695176501906,"[33.59080119713544, 130.3472470735482]","(2203, 10500)","(33.590749963790515, 130.34739673774286)","(33.590812589018824, 130.34724857592605)"
-72.67641586159637,"[33.59082726066335, 130.3471214162468]","(2203, 10500)","(33.590812589018824, 130.34724857592605)","(33.59082932314669, 130.34712168825004)"
-86.05938060688237,"[33.5908648430217, 130.3470160347692]","(2199, 10500)","(33.59082932314669, 130.34712168825004)","(33.5908462, 130.3469938)"
-111.06877896049716,"[33.59095196242779, 130.3469123087175]","(2197, 2199)","(33.5908462, 130.3469938)","(33.590944943956224, 130.34696040462387)"
-233.69743602202988,"[33.59098469375967, 130.346739046397]","(2199, 10500)","(33.590944943956224, 130.34696040462387)","(33.5908524, 130.3469469)"
-363.580946659937,"[33.59100738357156, 130.3465975095801]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-490.76834909943835,"[33.5910187976282, 130.3464833019584]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-619.1176724166388,"[33.59104698806404, 130.3463603017203]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-748.7549011935445,"[33.59106876424848, 130.3462212627105]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-880.3022809789419,"[33.59107754848301, 130.3460595087431]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1010.7539151368189,"[33.59107199966311, 130.3459093888573]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1135.981710059787,"[33.59109283078796, 130.3458189104035]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1265.8137107856737,"[33.59121228757649, 130.3458259721569]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1395.7853798995584,"[33.59132763932794, 130.3458692646868]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1525.8972468260229,"[33.59144452496766, 130.3459117190264]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
-1655.267267094285,"[33.59155900081023, 130.3458937817536]","(2199, 10500)","(33.5908524, 130.3469469)","(33.5908524, 130.3469469)"
