prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
-1318.810966654491,"[33.59073437869883, 130.350414142134]","(9433, 9434)","(33.5905980570024, 130.35052394218079)","(33.59058683286971, 130.3504321919389)"
-1385.9705102409805,"[33.59062889244742, 130.3501928179807]","(9433, 9434)","(33.59058683286971, 130.3504321919389)","(33.5905586013452, 130.3502014169407)"
-1441.6233680907212,"[33.59060335907488, 130.3500310262948]","(9433, 9434)","(33.5905586013452, 130.3502014169407)","(33.59053872414665, 130.35003893331495)"
-1447.0419609636265,"[33.59054164731278, 130.3499307996876]","(9433, 9434)","(33.59053872414665, 130.35003893331495)","(33.59053547668095, 130.34993085072674)"
-1451.139277168621,"[33.5905087169107, 130.3496923764519]","(9433, 9434)","(33.59053547668095, 130.34993085072674)","(33.5905153729303, 130.34969173478112)"
-1458.1848650417683,"[33.59047843519001, 130.349471194791]","(9433, 9434)","(33.5905153729303, 130.34969173478112)","(33.59046208686527, 130.34947415051468)"
-1470.6291552811624,"[33.59047400535419, 130.3493112722694]","(9433, 9434)","(33.59046208686527, 130.34947415051468)","(33.59044760370344, 130.349310722235)"
-1483.7115503724228,"[33.59046922766938, 130.3491494596287]","(9433, 9434)","(33.59044760370344, 130.349310722235)","(33.59044194197728, 130.3491528258351)"
-1526.937169876703,"[33.59047925661652, 130.3490400799833]","(9433, 9434)","(33.59044194197728, 130.3491528258351)","(33.5904236354219, 130.3490509488892)"
-1539.9085850455294,"[33.59041206308975, 130.3488593829147]","(9433, 9434)","(33.5904236354219, 130.3490509488892)","(33.590385558336116, 130.34886500441027)"
-1554.6634804840644,"[33.59041431363075, 130.3487121799312]","(9433, 9434)","(33.590385558336116, 130.34886500441027)","(33.59038490327808, 130.34871100805339)"
-1598.1460705097638,"[33.5904309407476, 130.3485568348959]","(9433, 9434)","(33.59038490327808, 130.34871100805339)","(33.59037544183492, 130.34856686481987)"
-1679.9719202190208,"[33.59042171275578, 130.3483771720252]","(9433, 9434)","(33.59037544183492, 130.34856686481987)","(33.59034261406652, 130.34838123934617)"
-1708.1709801186366,"[33.59038230733349, 130.3482713504977]","(9433, 9602)","(33.59034261406652, 130.34838123934617)","(33.5903406, 130.3482847)"
-1840.695947769955,"[33.59036884390152, 130.3480994586184]","(9433, 9434)","(33.5903406, 130.3482847)","(33.5903406, 130.3482847)"
Path2
1,"[33.59112548828125, 130.3550685291461]","(10466, 10474)","(33.59119428096419, 130.35505259371593)","(33.59119428096419, 130.35505259371593)"
-20.635888511325284,"[33.59104894942939, 130.3546782342068]","(10466, 10474)","(33.59119428096419, 130.35505259371593)","(33.591086198027725, 130.35466916525573)"
-63.858833618578004,"[33.59109845294952, 130.3544670605383]","(10466, 10474)","(33.591086198027725, 130.35466916525573)","(33.59104232435232, 130.3544653923807)"
-162.75978081005212,"[33.59095268536694, 130.3542121710538]","(10466, 10474)","(33.59104232435232, 130.3544653923807)","(33.591037891505195, 130.35419720454811)"
-170.4099621914488,"[33.59099708849899, 130.3540490592181]","(10466, 10474)","(33.591037891505195, 130.35419720454811)","(33.59101142729869, 130.35404654059994)"
-205.2608516845571,"[33.59100062985308, 130.353872305835]","(6001, 10474)","(33.59101142729869, 130.35404654059994)","(33.5909729, 130.3538272)"
-221.8306956953834,"[33.5909670582354, 130.3536981885604]","(6001, 9565)","(33.5909729, 130.3538272)","(33.5909595, 130.3537238)"
-228.43115250492957,"[33.59095696013755, 130.3536586511231]","(8532, 9565)","(33.5909595, 130.3537238)","(33.5909546, 130.3536754)"
-236.2465940386036,"[33.59092741581824, 130.3533203746872]","(8532, 9436)","(33.5909546, 130.3536754)","(33.590914339138685, 130.3533211249885)"
-239.8067140705254,"[33.59090163748114, 130.3531454523377]","(8532, 9436)","(33.590914339138685, 130.3533211249885)","(33.59090058926057, 130.35314561165947)"
-328.87940005408285,"[33.59092495174482, 130.3527558991968]","(8532, 9436)","(33.59090058926057, 130.35314561165947)","(33.59084193941122, 130.3527623968415)"
-342.04190583405983,"[33.59085111765526, 130.352549599605]","(8532, 9436)","(33.59084193941122, 130.3527623968415)","(33.59082496872297, 130.35255214252868)"
-351.5375708041794,"[33.59083584163672, 130.3524639575093]","(8532, 9436)","(33.59082496872297, 130.35255214252868)","(33.59081442445441, 130.35246819533685)"
-361.5938945373559,"[33.59077484233639, 130.3523670207992]","(8532, 9436)","(33.59081442445441, 130.35246819533685)","(33.590795298598046, 130.3523643094942)"
-371.06404567577636,"[33.59077672197817, 130.3521710728578]","(2164, 9436)","(33.590795298598046, 130.3523643094942)","(33.5907675, 130.3521519)"
-377.89280827956287,"[33.59075410760342, 130.3520579004011]","(2164, 9434)","(33.5907675, 130.3521519)","(33.59076460021841, 130.35205808776922)"
-382.7121435889273,"[33.59077331263907, 130.3518656363062]","(9433, 9434)","(33.59076460021841, 130.35205808776922)","(33.590762859089025, 130.3518657483085)"
-410.39112714147603,"[33.59078453391193, 130.3516700362138]","(9433, 9434)","(33.590762859089025, 130.3518657483085)","(33.59074097921881, 130.3516764048588)"
-485.1523310191826,"[33.5907998937495, 130.3515541228748]","(9433, 9434)","(33.59074097921881, 130.3516764048588)","(33.5907247064932, 130.3515651168897)"
-574.60534145505,"[33.5907907260429, 130.3513849551141]","(9433, 9434)","(33.5907247064932, 130.3515651168897)","(33.59070772798324, 130.3513915416904)"
-631.4503452851965,"[33.59074752780943, 130.351225426542]","(9433, 9434)","(33.59070772798324, 130.3513915416904)","(33.59068557690025, 130.35124711414775)"
-731.6351252116237,"[33.59074964843093, 130.3511582036785]","(9433, 9434)","(33.59068557690025, 130.35124711414775)","(33.59066484444176, 130.35118789162834)"
-849.3873927355588,"[33.59080933386794, 130.351101290556]","(9433, 9434)","(33.59066484444176, 130.35118789162834)","(33.590663236735715, 130.35108324182846)"
-968.5883952905015,"[33.59078679702579, 130.3509092779181]","(9433, 9434)","(33.590663236735715, 130.35108324182846)","(33.59066050487253, 130.35091817032446)"
-1085.4539284375442,"[33.59074788404032, 130.3506948101617]","(9433, 9434)","(33.59066050487253, 130.35091817032446)","(33.59061919203687, 130.35070803883693)"
-1202.2077571262134,"[33.59073177821337, 130.3505075835905]","(9433, 9434)","(33.59061919203687, 130.35070803883693)","(33.5905980570024, 130.35052394218079)"
-1318.810966654491,"[33.59073437869883, 130.350414142134]","(9433, 9434)","(33.5905980570024, 130.35052394218079)","(33.59058683286971, 130.3504321919389)"
-1385.9705102409805,"[33.59062889244742, 130.3501928179807]","(9433, 9434)","(33.59058683286971, 130.3504321919389)","(33.5905586013452, 130.3502014169407)"
-1441.6233680907212,"[33.59060335907488, 130.3500310262948]","(9433, 9434)","(33.5905586013452, 130.3502014169407)","(33.59053872414665, 130.35003893331495)"
-1447.0419609636265,"[33.59054164731278, 130.3499307996876]","(9433, 9434)","(33.59053872414665, 130.35003893331495)","(33.59053547668095, 130.34993085072674)"
-1451.139277168621,"[33.5905087169107, 130.3496923764519]","(9433, 9434)","(33.59053547668095, 130.34993085072674)","(33.5905153729303, 130.34969173478112)"
-1458.1848650417683,"[33.59047843519001, 130.349471194791]","(9433, 9434)","(33.5905153729303, 130.34969173478112)","(33.59046208686527, 130.34947415051468)"
-1470.6291552811624,"[33.59047400535419, 130.3493112722694]","(9433, 9434)","(33.59046208686527, 130.34947415051468)","(33.59044760370344, 130.349310722235)"
-1483.7115503724228,"[33.59046922766938, 130.3491494596287]","(9433, 9434)","(33.59044760370344, 130.349310722235)","(33.59044194197728, 130.3491528258351)"
-1526.937169876703,"[33.59047925661652, 130.3490400799833]","(9433, 9434)","(33.59044194197728, 130.3491528258351)","(33.5904236354219, 130.3490509488892)"
-1539.9085850455294,"[33.59041206308975, 130.3488593829147]","(9433, 9434)","(33.5904236354219, 130.3490509488892)","(33.590385558336116, 130.34886500441027)"
-1554.6634804840644,"[33.59041431363075, 130.3487121799312]","(9433, 9434)","(33.590385558336116, 130.34886500441027)","(33.59038490327808, 130.34871100805339)"
-1598.1460705097638,"[33.5904309407476, 130.3485568348959]","(9433, 9434)","(33.59038490327808, 130.34871100805339)","(33.59037544183492, 130.34856686481987)"
-1679.9719202190208,"[33.59042171275578, 130.3483771720252]","(9433, 9434)","(33.59037544183492, 130.34856686481987)","(33.59034261406652, 130.34838123934617)"
-1708.1709801186366,"[33.59038230733349, 130.3482713504977]","(9433, 9602)","(33.59034261406652, 130.34838123934617)","(33.5903406, 130.3482847)"
-1840.695947769955,"[33.59036884390152, 130.3480994586184]","(9433, 9602)","(33.5903406, 130.3482847)","(33.5903406, 130.3482847)"
Path3
1,"[33.59112548828125, 130.3550685291461]","(10466, 10474)","(33.59119428096419, 130.35505259371593)","(33.59119428096419, 130.35505259371593)"
-20.635888511325284,"[33.59104894942939, 130.3546782342068]","(10466, 10474)","(33.59119428096419, 130.35505259371593)","(33.591086198027725, 130.35466916525573)"
-63.858833618578004,"[33.59109845294952, 130.3544670605383]","(10466, 10474)","(33.591086198027725, 130.35466916525573)","(33.59104232435232, 130.3544653923807)"
-162.75978081005212,"[33.59095268536694, 130.3542121710538]","(10466, 10474)","(33.59104232435232, 130.3544653923807)","(33.591037891505195, 130.35419720454811)"
-170.4099621914488,"[33.59099708849899, 130.3540490592181]","(10466, 10474)","(33.591037891505195, 130.35419720454811)","(33.59101142729869, 130.35404654059994)"
-205.2608516845571,"[33.59100062985308, 130.353872305835]","(6001, 10474)","(33.59101142729869, 130.35404654059994)","(33.5909729, 130.3538272)"
-221.8306956953834,"[33.5909670582354, 130.3536981885604]","(6001, 9565)","(33.5909729, 130.3538272)","(33.5909595, 130.3537238)"
-228.43115250492957,"[33.59095696013755, 130.3536586511231]","(8532, 9565)","(33.5909595, 130.3537238)","(33.5909546, 130.3536754)"
-236.2465940386036,"[33.59092741581824, 130.3533203746872]","(8532, 9436)","(33.5909546, 130.3536754)","(33.590914339138685, 130.3533211249885)"
-239.8067140705254,"[33.59090163748114, 130.3531454523377]","(8532, 9436)","(33.590914339138685, 130.3533211249885)","(33.59090058926057, 130.35314561165947)"
-328.87940005408285,"[33.59092495174482, 130.3527558991968]","(8532, 9436)","(33.59090058926057, 130.35314561165947)","(33.59084193941122, 130.3527623968415)"
-342.04190583405983,"[33.59085111765526, 130.352549599605]","(8532, 9436)","(33.59084193941122, 130.3527623968415)","(33.59082496872297, 130.35255214252868)"
-351.5375708041794,"[33.59083584163672, 130.3524639575093]","(8532, 9436)","(33.59082496872297, 130.35255214252868)","(33.59081442445441, 130.35246819533685)"
-361.5938945373559,"[33.59077484233639, 130.3523670207992]","(8532, 9436)","(33.59081442445441, 130.35246819533685)","(33.590795298598046, 130.3523643094942)"
-371.06404567577636,"[33.59077672197817, 130.3521710728578]","(2164, 9436)","(33.590795298598046, 130.3523643094942)","(33.5907675, 130.3521519)"
-377.89280827956287,"[33.59075410760342, 130.3520579004011]","(2164, 9434)","(33.5907675, 130.3521519)","(33.59076460021841, 130.35205808776922)"
-382.7121435889273,"[33.59077331263907, 130.3518656363062]","(9433, 9434)","(33.59076460021841, 130.35205808776922)","(33.590762859089025, 130.3518657483085)"
-410.39112714147603,"[33.59078453391193, 130.3516700362138]","(9433, 9434)","(33.590762859089025, 130.3518657483085)","(33.59074097921881, 130.3516764048588)"
-485.1523310191826,"[33.5907998937495, 130.3515541228748]","(9433, 9434)","(33.59074097921881, 130.3516764048588)","(33.5907247064932, 130.3515651168897)"
-574.60534145505,"[33.5907907260429, 130.3513849551141]","(9433, 9434)","(33.5907247064932, 130.3515651168897)","(33.59070772798324, 130.3513915416904)"
-631.4503452851965,"[33.59074752780943, 130.351225426542]","(9433, 9434)","(33.59070772798324, 130.3513915416904)","(33.59068557690025, 130.35124711414775)"
-731.6351252116237,"[33.59074964843093, 130.3511582036785]","(9433, 9434)","(33.59068557690025, 130.35124711414775)","(33.59066484444176, 130.35118789162834)"
-849.3873927355588,"[33.59080933386794, 130.351101290556]","(9433, 9434)","(33.59066484444176, 130.35118789162834)","(33.590663236735715, 130.35108324182846)"
-968.5883952905015,"[33.59078679702579, 130.3509092779181]","(9433, 9434)","(33.590663236735715, 130.35108324182846)","(33.59066050487253, 130.35091817032446)"
-1085.4539284375442,"[33.59074788404032, 130.3506948101617]","(9433, 9434)","(33.59066050487253, 130.35091817032446)","(33.59061919203687, 130.35070803883693)"
-1202.2077571262134,"[33.59073177821337, 130.3505075835905]","(9433, 9434)","(33.59061919203687, 130.35070803883693)","(33.5905980570024, 130.35052394218079)"
-1318.810966654491,"[33.59073437869883, 130.350414142134]","(9433, 9434)","(33.5905980570024, 130.35052394218079)","(33.59058683286971, 130.3504321919389)"
-1385.9705102409805,"[33.59062889244742, 130.3501928179807]","(9433, 9434)","(33.59058683286971, 130.3504321919389)","(33.5905586013452, 130.3502014169407)"
-1441.6233680907212,"[33.59060335907488, 130.3500310262948]","(9433, 9434)","(33.5905586013452, 130.3502014169407)","(33.59053872414665, 130.35003893331495)"
-1447.0419609636265,"[33.59054164731278, 130.3499307996876]","(9433, 9434)","(33.59053872414665, 130.35003893331495)","(33.59053547668095, 130.34993085072674)"
-1451.139277168621,"[33.5905087169107, 130.3496923764519]","(9433, 9434)","(33.59053547668095, 130.34993085072674)","(33.5905153729303, 130.34969173478112)"
-1458.1848650417683,"[33.59047843519001, 130.349471194791]","(9433, 9434)","(33.5905153729303, 130.34969173478112)","(33.59046208686527, 130.34947415051468)"
-1470.6291552811624,"[33.59047400535419, 130.3493112722694]","(9433, 9434)","(33.59046208686527, 130.34947415051468)","(33.59044760370344, 130.349310722235)"
-1483.7115503724228,"[33.59046922766938, 130.3491494596287]","(9433, 9434)","(33.59044760370344, 130.349310722235)","(33.59044194197728, 130.3491528258351)"
-1526.937169876703,"[33.59047925661652, 130.3490400799833]","(9433, 9434)","(33.59044194197728, 130.3491528258351)","(33.5904236354219, 130.3490509488892)"
-1539.9085850455294,"[33.59041206308975, 130.3488593829147]","(9433, 9434)","(33.5904236354219, 130.3490509488892)","(33.590385558336116, 130.34886500441027)"
-1554.6634804840644,"[33.59041431363075, 130.3487121799312]","(9433, 9434)","(33.590385558336116, 130.34886500441027)","(33.59038490327808, 130.34871100805339)"
-1598.1460705097638,"[33.5904309407476, 130.3485568348959]","(9433, 9434)","(33.59038490327808, 130.34871100805339)","(33.59037544183492, 130.34856686481987)"
-1679.9719202190208,"[33.59042171275578, 130.3483771720252]","(9433, 9434)","(33.59037544183492, 130.34856686481987)","(33.59034261406652, 130.34838123934617)"
-1708.2216658403195,"[33.59038230733349, 130.3482713504977]","(9433, 9434)","(33.59034261406652, 130.34838123934617)","(33.5903406, 130.3482847)"
-1840.7466334916378,"[33.59036884390152, 130.3480994586184]","(9433, 9434)","(33.5903406, 130.3482847)","(33.5903406, 130.3482847)"
Path4
1,"[33.59112548828125, 130.3550685291461]","(10466, 10474)","(33.59119428096419, 130.35505259371593)","(33.59119428096419, 130.35505259371593)"
-20.635888511325284,"[33.59104894942939, 130.3546782342068]","(10466, 10474)","(33.59119428096419, 130.35505259371593)","(33.591086198027725, 130.35466916525573)"
-63.858833618578004,"[33.59109845294952, 130.3544670605383]","(10466, 10474)","(33.591086198027725, 130.35466916525573)","(33.59104232435232, 130.3544653923807)"
-162.75978081005212,"[33.59095268536694, 130.3542121710538]","(10466, 10474)","(33.59104232435232, 130.3544653923807)","(33.591037891505195, 130.35419720454811)"
-170.4099621914488,"[33.59099708849899, 130.3540490592181]","(10466, 10474)","(33.591037891505195, 130.35419720454811)","(33.59101142729869, 130.35404654059994)"
-205.2608516845571,"[33.59100062985308, 130.353872305835]","(6001, 10474)","(33.59101142729869, 130.35404654059994)","(33.5909729, 130.3538272)"
-221.8306956953834,"[33.5909670582354, 130.3536981885604]","(6001, 9565)","(33.5909729, 130.3538272)","(33.5909595, 130.3537238)"
-228.43115250492957,"[33.59095696013755, 130.3536586511231]","(8532, 9565)","(33.5909595, 130.3537238)","(33.5909546, 130.3536754)"
-236.2465940386036,"[33.59092741581824, 130.3533203746872]","(8532, 9436)","(33.5909546, 130.3536754)","(33.590914339138685, 130.3533211249885)"
-239.8067140705254,"[33.59090163748114, 130.3531454523377]","(8532, 9436)","(33.590914339138685, 130.3533211249885)","(33.59090058926057, 130.35314561165947)"
-328.87940005408285,"[33.59092495174482, 130.3527558991968]","(8532, 9436)","(33.59090058926057, 130.35314561165947)","(33.59084193941122, 130.3527623968415)"
-342.04190583405983,"[33.59085111765526, 130.352549599605]","(8532, 9436)","(33.59084193941122, 130.3527623968415)","(33.59082496872297, 130.35255214252868)"
-351.5375708041794,"[33.59083584163672, 130.3524639575093]","(8532, 9436)","(33.59082496872297, 130.35255214252868)","(33.59081442445441, 130.35246819533685)"
-361.5938945373559,"[33.59077484233639, 130.3523670207992]","(8532, 9436)","(33.59081442445441, 130.35246819533685)","(33.590795298598046, 130.3523643094942)"
-371.06404567577636,"[33.59077672197817, 130.3521710728578]","(2164, 9436)","(33.590795298598046, 130.3523643094942)","(33.5907675, 130.3521519)"
-377.89280827956287,"[33.59075410760342, 130.3520579004011]","(2164, 9434)","(33.5907675, 130.3521519)","(33.59076460021841, 130.35205808776922)"
-382.7121435889273,"[33.59077331263907, 130.3518656363062]","(9433, 9434)","(33.59076460021841, 130.35205808776922)","(33.590762859089025, 130.3518657483085)"
-410.39112714147603,"[33.59078453391193, 130.3516700362138]","(9433, 9434)","(33.590762859089025, 130.3518657483085)","(33.59074097921881, 130.3516764048588)"
-485.1523310191826,"[33.5907998937495, 130.3515541228748]","(9433, 9434)","(33.59074097921881, 130.3516764048588)","(33.5907247064932, 130.3515651168897)"
