prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59206363329067, 130.3525043373279]","(6548, 6551)","(33.591996805220546, 130.3525126333888)","(33.591996805220546, 130.3525126333888)"
-251.87691382517212,"[33.59186856544911, 130.3530563694707]","(6551, 6556)","(33.5920475, 130.352921)","(33.592060932092224, 130.3530333763107)"
-368.5086680722062,"[33.59188159930854, 130.3531056969709]","(6551, 6556)","(33.592060932092224, 130.3530333763107)","(33.59206692864069, 130.35308354496516)"
-487.6624369577973,"[33.59197969900779, 130.3532622499674]","(6551, 6556)","(33.59206692864069, 130.35308354496516)","(33.59208675929606, 130.3532494532876)"
-531.1072092549203,"[33.59205771985798, 130.3533739094905]","(6551, 6556)","(33.59208675929606, 130.3532494532876)","(33.59210677915619, 130.35334725755789)"
-562.1231409491847,"[33.59214624951927, 130.3534817007653]","(6556, 6559)","(33.59210677915619, 130.35334725755789)","(33.5921479, 130.3534293)"
-686.500661219855,"[33.5922155343309, 130.3536300478786]","(6556, 6567)","(33.5921479, 130.3534293)","(33.592207, 130.3534282)"
-818.219108060249,"[33.59202995899468, 130.3534864449225]","(6551, 6556)","(33.592207, 130.3534282)","(33.592132753909084, 130.35338731036111)"
Path7
1,"[33.59206363329067, 130.3525043373279]","(6548, 6551)","(33.591996805220546, 130.3525126333888)","(33.591996805220546, 130.3525126333888)"
-15.9045882145235,"[33.59199449516235, 130.3527398017518]","(6548, 6551)","(33.591996805220546, 130.3525126333888)","(33.59202454292273, 130.3527360716119)"
-120.12833407530873,"[33.59195488228796, 130.3529053946308]","(6548, 6551)","(33.59202454292273, 130.3527360716119)","(33.59204418649191, 130.3528943083745)"
-240.55575108116255,"[33.59186856544911, 130.3530563694707]","(6551, 6556)","(33.59204418649191, 130.3528943083745)","(33.592060932092224, 130.3530333763107)"
-357.18750532819666,"[33.59188159930854, 130.3531056969709]","(6551, 6556)","(33.592060932092224, 130.3530333763107)","(33.59206692864069, 130.35308354496516)"
-476.34127421378776,"[33.59197969900779, 130.3532622499674]","(6551, 6556)","(33.59206692864069, 130.35308354496516)","(33.59208675929606, 130.3532494532876)"
-519.7860465109108,"[33.59205771985798, 130.3533739094905]","(6551, 6556)","(33.59208675929606, 130.3532494532876)","(33.59210677915619, 130.35334725755789)"
-550.8019782051751,"[33.59214624951927, 130.3534817007653]","(6556, 6559)","(33.59210677915619, 130.35334725755789)","(33.5921479, 130.3534293)"
-681.1830700497733,"[33.5922155343309, 130.3536300478786]","(6556, 6558)","(33.5921479, 130.3534293)","(33.5921556, 130.353411)"
-818.9050884640951,"[33.59202995899468, 130.3534864449225]","(6551, 6556)","(33.5921556, 130.353411)","(33.592132753909084, 130.35338731036111)"
