prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-969.3385319347576,"[33.59523750371521, 130.3638292336041]","(6685, 8390)","(33.59509209414874, 130.36393613133484)","(33.5952018, 130.3639659)"
-1086.57580720248,"[33.59533021602182, 130.3638624028586]","(6685, 8390)","(33.5952018, 130.3639659)","(33.595289286600064, 130.3639932633154)"
-1197.647033818288,"[33.59540384265928, 130.3639048152886]","(6685, 8390)","(33.595289286600064, 130.3639932633154)","(33.59539904505001, 130.36401496040145)"
-1235.4281874831715,"[33.59548763654529, 130.3639462889455]","(6685, 8390)","(33.59539904505001, 130.36401496040145)","(33.59550418913116, 130.3640047512701)"
-1251.2074934063128,"[33.59559975288211, 130.3640028835557]","(6685, 8390)","(33.59550418913116, 130.3640047512701)","(33.5955884102013, 130.36397426799587)"
-1280.9305636328875,"[33.59569573405533, 130.3639537153117]","(6685, 8390)","(33.5955884102013, 130.36397426799587)","(33.59566334025661, 130.36391693738986)"
-1358.1773869780102,"[33.59577166571616, 130.3639296424858]","(6685, 8390)","(33.59566334025661, 130.36391693738986)","(33.59571364237159, 130.36386996526917)"
-1484.6247879909333,"[33.59589266687035, 130.3639703617714]","(6685, 8390)","(33.59571364237159, 130.36386996526917)","(33.59574091297391, 130.3638408366147)"
-1602.4177183300033,"[33.59598285614847, 130.3639191818706]","(6685, 8390)","(33.59574091297391, 130.3638408366147)","(33.595804196728814, 130.36376669228142)"
-1719.6282450607594,"[33.59605700246393, 130.3638478015832]","(6685, 8390)","(33.595804196728814, 130.36376669228142)","(33.595867027697224, 130.36369110775578)"
-1836.2467795052607,"[33.59611397425979, 130.3637700175218]","(6685, 8390)","(33.595867027697224, 130.36369110775578)","(33.595928275813996, 130.36361685086328)"
-1952.8474079515092,"[33.59617649487554, 130.3636994586609]","(6685, 8390)","(33.595928275813996, 130.36361685086328)","(33.595988223888774, 130.36354417013484)"
-2069.4951803960475,"[33.596235319072, 130.3636364770405]","(6685, 8390)","(33.595988223888774, 130.36354417013484)","(33.5960429559545, 130.36347781326816)"
-2186.1651184171183,"[33.59629384990185, 130.3635492381923]","(6685, 8390)","(33.5960429559545, 130.36347781326816)","(33.59610947633437, 130.36339716431183)"
-2302.7666192005568,"[33.59636144156902, 130.3634726275973]","(6685, 8390)","(33.59610947633437, 130.36339716431183)","(33.596174448149846, 130.36331839282676)"
-2419.527797399346,"[33.59643516040742, 130.3633986489199]","(6685, 8390)","(33.596174448149846, 130.36331839282676)","(33.596240608777485, 130.3632381800321)"
Path3
1,"[33.59419482018201, 130.3636609186701]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59427946938906, 130.36362673249005)"
-81.78346384754786,"[33.59424642755984, 130.3637633622907]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59432227718511, 130.3637327298839)"
-132.1045061930261,"[33.59430556188671, 130.3638586310021]","(8389, 8678)","(33.59432227718511, 130.3637327298839)","(33.5943636491737, 130.36383517204106)"
-139.18089575107666,"[33.59438337109385, 130.3639096935563]","(8389, 8678)","(33.5943636491737, 130.36383517204106)","(33.5943922904605, 130.3639060914071)"
-143.14490217636552,"[33.59441481999455, 130.3639790789507]","(8389, 8678)","(33.5943922904605, 130.3639060914071)","(33.59442079282381, 130.36397666678144)"
-182.4490060064833,"[33.59440710864364, 130.3640943636469]","(5066, 8389)","(33.59442079282381, 130.36397666678144)","(33.59443927439458, 130.36413672400744)"
-267.1332974199306,"[33.59451205007135, 130.3641892132632]","(8389, 8390)","(33.59443927439458, 130.36413672400744)","(33.5944746, 130.3641099)"
-387.3667862162371,"[33.59460477068423, 130.3641877548121]","(8389, 8390)","(33.5944746, 130.3641099)","(33.59452608524933, 130.3640742185448)"
-504.05920911299546,"[33.59468221108763, 130.3641434815995]","(8389, 8390)","(33.59452608524933, 130.3640742185448)","(33.59459912656234, 130.36402359782582)"
-563.3753443656328,"[33.59476579542606, 130.3641020749978]","(6828, 8390)","(33.59459912656234, 130.36402359782582)","(33.5947399, 130.3640399)"
-680.5912759288341,"[33.59483037798999, 130.3640855961762]","(8389, 8390)","(33.5947399, 130.3640399)","(33.5947351, 130.3639538)"
-801.2804716696468,"[33.59493694550692, 130.3640551363401]","(6828, 8390)","(33.5947351, 130.3639538)","(33.5947399, 130.3640399)"
-843.901835693913,"[33.59508269003926, 130.3639667407892]","(6685, 8390)","(33.5947399, 130.3640399)","(33.59509209414874, 130.36393613133484)"
-969.3420421110527,"[33.59523750371521, 130.3638292336041]","(6685, 8390)","(33.59509209414874, 130.36393613133484)","(33.5952018, 130.3639659)"
-1086.5793173787752,"[33.59533021602182, 130.3638624028586]","(6685, 8390)","(33.5952018, 130.3639659)","(33.595289286600064, 130.3639932633154)"
-1197.6505439945831,"[33.59540384265928, 130.3639048152886]","(6685, 8390)","(33.595289286600064, 130.3639932633154)","(33.59539904505001, 130.36401496040145)"
-1235.4316976594666,"[33.59548763654529, 130.3639462889455]","(6685, 8390)","(33.59539904505001, 130.36401496040145)","(33.59550418913116, 130.3640047512701)"
-1251.2110035826079,"[33.59559975288211, 130.3640028835557]","(6685, 8390)","(33.59550418913116, 130.3640047512701)","(33.5955884102013, 130.36397426799587)"
-1280.9340738091826,"[33.59569573405533, 130.3639537153117]","(6685, 8390)","(33.5955884102013, 130.36397426799587)","(33.59566334025661, 130.36391693738986)"
-1358.1808971543053,"[33.59577166571616, 130.3639296424858]","(6685, 8390)","(33.59566334025661, 130.36391693738986)","(33.59571364237159, 130.36386996526917)"
-1484.6282981672284,"[33.59589266687035, 130.3639703617714]","(6685, 8390)","(33.59571364237159, 130.36386996526917)","(33.59574091297391, 130.3638408366147)"
-1602.4212285062983,"[33.59598285614847, 130.3639191818706]","(6685, 8390)","(33.59574091297391, 130.3638408366147)","(33.595804196728814, 130.36376669228142)"
-1719.6317552370544,"[33.59605700246393, 130.3638478015832]","(6685, 8390)","(33.595804196728814, 130.36376669228142)","(33.595867027697224, 130.36369110775578)"
-1836.2502896815558,"[33.59611397425979, 130.3637700175218]","(6685, 8390)","(33.595867027697224, 130.36369110775578)","(33.595928275813996, 130.36361685086328)"
-1952.8509181278043,"[33.59617649487554, 130.3636994586609]","(6685, 8390)","(33.595928275813996, 130.36361685086328)","(33.595988223888774, 130.36354417013484)"
-2069.4986905723426,"[33.596235319072, 130.3636364770405]","(6685, 8390)","(33.595988223888774, 130.36354417013484)","(33.5960429559545, 130.36347781326816)"
-2186.1686285934134,"[33.59629384990185, 130.3635492381923]","(6685, 8390)","(33.5960429559545, 130.36347781326816)","(33.59610947633437, 130.36339716431183)"
-2302.770129376852,"[33.59636144156902, 130.3634726275973]","(6685, 8390)","(33.59610947633437, 130.36339716431183)","(33.596174448149846, 130.36331839282676)"
-2419.531307575641,"[33.59643516040742, 130.3633986489199]","(6685, 8390)","(33.596174448149846, 130.36331839282676)","(33.596240608777485, 130.3632381800321)"
Path4
1,"[33.59419482018201, 130.3636609186701]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59427946938906, 130.36362673249005)"
-81.78346384754786,"[33.59424642755984, 130.3637633622907]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59432227718511, 130.3637327298839)"
-132.1045061930261,"[33.59430556188671, 130.3638586310021]","(8389, 8678)","(33.59432227718511, 130.3637327298839)","(33.5943636491737, 130.36383517204106)"
-139.18089575107666,"[33.59438337109385, 130.3639096935563]","(8389, 8678)","(33.5943636491737, 130.36383517204106)","(33.5943922904605, 130.3639060914071)"
-143.14490217636552,"[33.59441481999455, 130.3639790789507]","(8389, 8678)","(33.5943922904605, 130.3639060914071)","(33.59442079282381, 130.36397666678144)"
-182.4490060064833,"[33.59440710864364, 130.3640943636469]","(5066, 8389)","(33.59442079282381, 130.36397666678144)","(33.59443927439458, 130.36413672400744)"
-267.1332974199306,"[33.59451205007135, 130.3641892132632]","(8389, 8390)","(33.59443927439458, 130.36413672400744)","(33.5944746, 130.3641099)"
-387.3667862162371,"[33.59460477068423, 130.3641877548121]","(8389, 8390)","(33.5944746, 130.3641099)","(33.59452608524933, 130.3640742185448)"
-504.05920911299546,"[33.59468221108763, 130.3641434815995]","(8389, 8390)","(33.59452608524933, 130.3640742185448)","(33.59459912656234, 130.36402359782582)"
-563.3753443656328,"[33.59476579542606, 130.3641020749978]","(6828, 8390)","(33.59459912656234, 130.36402359782582)","(33.5947399, 130.3640399)"
-680.5912759288341,"[33.59483037798999, 130.3640855961762]","(6827, 8390)","(33.5947399, 130.3640399)","(33.5947351, 130.3639538)"
-801.2804716696468,"[33.59493694550692, 130.3640551363401]","(6828, 8390)","(33.5947351, 130.3639538)","(33.5947399, 130.3640399)"
-843.901835693913,"[33.59508269003926, 130.3639667407892]","(6685, 8390)","(33.5947399, 130.3640399)","(33.59509209414874, 130.36393613133484)"
-969.3420421110527,"[33.59523750371521, 130.3638292336041]","(6685, 8390)","(33.59509209414874, 130.36393613133484)","(33.5952018, 130.3639659)"
-1086.5793173787752,"[33.59533021602182, 130.3638624028586]","(6685, 8390)","(33.5952018, 130.3639659)","(33.595289286600064, 130.3639932633154)"
-1197.6505439945831,"[33.59540384265928, 130.3639048152886]","(6685, 8390)","(33.595289286600064, 130.3639932633154)","(33.59539904505001, 130.36401496040145)"
-1235.4316976594666,"[33.59548763654529, 130.3639462889455]","(6685, 8390)","(33.59539904505001, 130.36401496040145)","(33.59550418913116, 130.3640047512701)"
-1251.2110035826079,"[33.59559975288211, 130.3640028835557]","(6685, 8390)","(33.59550418913116, 130.3640047512701)","(33.5955884102013, 130.36397426799587)"
-1280.9340738091826,"[33.59569573405533, 130.3639537153117]","(6685, 8390)","(33.5955884102013, 130.36397426799587)","(33.59566334025661, 130.36391693738986)"
-1358.1808971543053,"[33.59577166571616, 130.3639296424858]","(6685, 8390)","(33.59566334025661, 130.36391693738986)","(33.59571364237159, 130.36386996526917)"
-1484.6282981672284,"[33.59589266687035, 130.3639703617714]","(6685, 8390)","(33.59571364237159, 130.36386996526917)","(33.59574091297391, 130.3638408366147)"
-1602.4212285062983,"[33.59598285614847, 130.3639191818706]","(6685, 8390)","(33.59574091297391, 130.3638408366147)","(33.595804196728814, 130.36376669228142)"
-1719.6317552370544,"[33.59605700246393, 130.3638478015832]","(6685, 8390)","(33.595804196728814, 130.36376669228142)","(33.595867027697224, 130.36369110775578)"
-1836.2502896815558,"[33.59611397425979, 130.3637700175218]","(6685, 8390)","(33.595867027697224, 130.36369110775578)","(33.595928275813996, 130.36361685086328)"
-1952.8509181278043,"[33.59617649487554, 130.3636994586609]","(6685, 8390)","(33.595928275813996, 130.36361685086328)","(33.595988223888774, 130.36354417013484)"
-2069.4986905723426,"[33.596235319072, 130.3636364770405]","(6685, 8390)","(33.595988223888774, 130.36354417013484)","(33.5960429559545, 130.36347781326816)"
-2186.1686285934134,"[33.59629384990185, 130.3635492381923]","(6685, 8390)","(33.5960429559545, 130.36347781326816)","(33.59610947633437, 130.36339716431183)"
-2302.770129376852,"[33.59636144156902, 130.3634726275973]","(6685, 8390)","(33.59610947633437, 130.36339716431183)","(33.596174448149846, 130.36331839282676)"
-2419.531307575641,"[33.59643516040742, 130.3633986489199]","(6685, 8390)","(33.596174448149846, 130.36331839282676)","(33.596240608777485, 130.3632381800321)"
Path5
1,"[33.59419482018201, 130.3636609186701]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59427946938906, 130.36362673249005)"
-81.78346384754786,"[33.59424642755984, 130.3637633622907]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59432227718511, 130.3637327298839)"
-132.1045061930261,"[33.59430556188671, 130.3638586310021]","(8389, 8678)","(33.59432227718511, 130.3637327298839)","(33.5943636491737, 130.36383517204106)"
-139.18089575107666,"[33.59438337109385, 130.3639096935563]","(8389, 8678)","(33.5943636491737, 130.36383517204106)","(33.5943922904605, 130.3639060914071)"
-143.14490217636552,"[33.59441481999455, 130.3639790789507]","(8389, 8678)","(33.5943922904605, 130.3639060914071)","(33.59442079282381, 130.36397666678144)"
-182.4490060064833,"[33.59440710864364, 130.3640943636469]","(5066, 8389)","(33.59442079282381, 130.36397666678144)","(33.59443927439458, 130.36413672400744)"
-271.10040009960454,"[33.59451205007135, 130.3641892132632]","(5066, 8389)","(33.59443927439458, 130.36413672400744)","(33.59446015405424, 130.3641208693281)"
-389.4283851718686,"[33.59460477068423, 130.3641877548121]","(8389, 8390)","(33.59446015405424, 130.3641208693281)","(33.59452608524933, 130.3640742185448)"
-506.120808068627,"[33.59468221108763, 130.3641434815995]","(8389, 8390)","(33.59452608524933, 130.3640742185448)","(33.59459912656234, 130.36402359782582)"
-565.4369433212644,"[33.59476579542606, 130.3641020749978]","(6828, 8390)","(33.59459912656234, 130.36402359782582)","(33.5947399, 130.3640399)"
-682.6528748844656,"[33.59483037798999, 130.3640855961762]","(8389, 8390)","(33.5947399, 130.3640399)","(33.5947351, 130.3639538)"
-803.3420706252783,"[33.59493694550692, 130.3640551363401]","(6828, 8390)","(33.5947351, 130.3639538)","(33.5947399, 130.3640399)"
-845.9634346495445,"[33.59508269003926, 130.3639667407892]","(6685, 8390)","(33.5947399, 130.3640399)","(33.59509209414874, 130.36393613133484)"
-971.4036410666843,"[33.59523750371521, 130.3638292336041]","(6685, 8390)","(33.59509209414874, 130.36393613133484)","(33.5952018, 130.3639659)"
-1088.6409163344067,"[33.59533021602182, 130.3638624028586]","(6685, 8390)","(33.5952018, 130.3639659)","(33.595289286600064, 130.3639932633154)"
-1199.7121429502147,"[33.59540384265928, 130.3639048152886]","(6685, 8390)","(33.595289286600064, 130.3639932633154)","(33.59539904505001, 130.36401496040145)"
-1237.4932966150982,"[33.59548763654529, 130.3639462889455]","(6685, 8390)","(33.59539904505001, 130.36401496040145)","(33.59550418913116, 130.3640047512701)"
-1253.2726025382394,"[33.59559975288211, 130.3640028835557]","(6685, 8390)","(33.59550418913116, 130.3640047512701)","(33.5955884102013, 130.36397426799587)"
-1282.9956727648141,"[33.59569573405533, 130.3639537153117]","(6685, 8390)","(33.5955884102013, 130.36397426799587)","(33.59566334025661, 130.36391693738986)"
-1360.2424961099368,"[33.59577166571616, 130.3639296424858]","(6685, 8390)","(33.59566334025661, 130.36391693738986)","(33.59571364237159, 130.36386996526917)"
-1486.68989712286,"[33.59589266687035, 130.3639703617714]","(6685, 8390)","(33.59571364237159, 130.36386996526917)","(33.59574091297391, 130.3638408366147)"
-1604.48282746193,"[33.59598285614847, 130.3639191818706]","(6685, 8390)","(33.59574091297391, 130.3638408366147)","(33.595804196728814, 130.36376669228142)"
-1721.693354192686,"[33.59605700246393, 130.3638478015832]","(6685, 8390)","(33.595804196728814, 130.36376669228142)","(33.595867027697224, 130.36369110775578)"
-1838.3118886371874,"[33.59611397425979, 130.3637700175218]","(6685, 8390)","(33.595867027697224, 130.36369110775578)","(33.595928275813996, 130.36361685086328)"
-1954.912517083436,"[33.59617649487554, 130.3636994586609]","(6685, 8390)","(33.595928275813996, 130.36361685086328)","(33.595988223888774, 130.36354417013484)"
-2071.560289527974,"[33.596235319072, 130.3636364770405]","(6685, 8390)","(33.595988223888774, 130.36354417013484)","(33.5960429559545, 130.36347781326816)"
-2188.2302275490447,"[33.59629384990185, 130.3635492381923]","(6685, 8390)","(33.5960429559545, 130.36347781326816)","(33.59610947633437, 130.36339716431183)"
-2304.831728332483,"[33.59636144156902, 130.3634726275973]","(6685, 8390)","(33.59610947633437, 130.36339716431183)","(33.596174448149846, 130.36331839282676)"
-2421.5929065312725,"[33.59643516040742, 130.3633986489199]","(6685, 8390)","(33.596174448149846, 130.36331839282676)","(33.596240608777485, 130.3632381800321)"
Path6
1,"[33.59419482018201, 130.3636609186701]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59427946938906, 130.36362673249005)"
-81.78346384754786,"[33.59424642755984, 130.3637633622907]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59432227718511, 130.3637327298839)"
-132.1045061930261,"[33.59430556188671, 130.3638586310021]","(8389, 8678)","(33.59432227718511, 130.3637327298839)","(33.5943636491737, 130.36383517204106)"
-139.18089575107666,"[33.59438337109385, 130.3639096935563]","(8389, 8678)","(33.5943636491737, 130.36383517204106)","(33.5943922904605, 130.3639060914071)"
-143.14490217636552,"[33.59441481999455, 130.3639790789507]","(8389, 8678)","(33.5943922904605, 130.3639060914071)","(33.59442079282381, 130.36397666678144)"
-182.4490060064833,"[33.59440710864364, 130.3640943636469]","(5066, 8389)","(33.59442079282381, 130.36397666678144)","(33.59443927439458, 130.36413672400744)"
-271.10040009960454,"[33.59451205007135, 130.3641892132632]","(5066, 8389)","(33.59443927439458, 130.36413672400744)","(33.59446015405424, 130.3641208693281)"
-389.4283851718686,"[33.59460477068423, 130.3641877548121]","(8389, 8390)","(33.59446015405424, 130.3641208693281)","(33.59452608524933, 130.3640742185448)"
-506.120808068627,"[33.59468221108763, 130.3641434815995]","(8389, 8390)","(33.59452608524933, 130.3640742185448)","(33.59459912656234, 130.36402359782582)"
-565.4369433212644,"[33.59476579542606, 130.3641020749978]","(6828, 8390)","(33.59459912656234, 130.36402359782582)","(33.5947399, 130.3640399)"
-682.6528748844656,"[33.59483037798999, 130.3640855961762]","(6827, 8390)","(33.5947399, 130.3640399)","(33.5947351, 130.3639538)"
-803.3420706252783,"[33.59493694550692, 130.3640551363401]","(6828, 8390)","(33.5947351, 130.3639538)","(33.5947399, 130.3640399)"
-845.9634346495445,"[33.59508269003926, 130.3639667407892]","(6685, 8390)","(33.5947399, 130.3640399)","(33.59509209414874, 130.36393613133484)"
-971.4036410666843,"[33.59523750371521, 130.3638292336041]","(6685, 8390)","(33.59509209414874, 130.36393613133484)","(33.5952018, 130.3639659)"
-1088.6409163344067,"[33.59533021602182, 130.3638624028586]","(6685, 8390)","(33.5952018, 130.3639659)","(33.595289286600064, 130.3639932633154)"
-1199.7121429502147,"[33.59540384265928, 130.3639048152886]","(6685, 8390)","(33.595289286600064, 130.3639932633154)","(33.59539904505001, 130.36401496040145)"
-1237.4932966150982,"[33.59548763654529, 130.3639462889455]","(6685, 8390)","(33.59539904505001, 130.36401496040145)","(33.59550418913116, 130.3640047512701)"
-1253.2726025382394,"[33.59559975288211, 130.3640028835557]","(6685, 8390)","(33.59550418913116, 130.3640047512701)","(33.5955884102013, 130.36397426799587)"
-1282.9956727648141,"[33.59569573405533, 130.3639537153117]","(6685, 8390)","(33.5955884102013, 130.36397426799587)","(33.59566334025661, 130.36391693738986)"
-1360.2424961099368,"[33.59577166571616, 130.3639296424858]","(6685, 8390)","(33.59566334025661, 130.36391693738986)","(33.59571364237159, 130.36386996526917)"
-1486.68989712286,"[33.59589266687035, 130.3639703617714]","(6685, 8390)","(33.59571364237159, 130.36386996526917)","(33.59574091297391, 130.3638408366147)"
-1604.48282746193,"[33.59598285614847, 130.3639191818706]","(6685, 8390)","(33.59574091297391, 130.3638408366147)","(33.595804196728814, 130.36376669228142)"
-1721.693354192686,"[33.59605700246393, 130.3638478015832]","(6685, 8390)","(33.595804196728814, 130.36376669228142)","(33.595867027697224, 130.36369110775578)"
-1838.3118886371874,"[33.59611397425979, 130.3637700175218]","(6685, 8390)","(33.595867027697224, 130.36369110775578)","(33.595928275813996, 130.36361685086328)"
-1954.912517083436,"[33.59617649487554, 130.3636994586609]","(6685, 8390)","(33.595928275813996, 130.36361685086328)","(33.595988223888774, 130.36354417013484)"
-2071.560289527974,"[33.596235319072, 130.3636364770405]","(6685, 8390)","(33.595988223888774, 130.36354417013484)","(33.5960429559545, 130.36347781326816)"
-2188.2302275490447,"[33.59629384990185, 130.3635492381923]","(6685, 8390)","(33.5960429559545, 130.36347781326816)","(33.59610947633437, 130.36339716431183)"
-2304.831728332483,"[33.59636144156902, 130.3634726275973]","(6685, 8390)","(33.59610947633437, 130.36339716431183)","(33.596174448149846, 130.36331839282676)"
-2421.5929065312725,"[33.59643516040742, 130.3633986489199]","(6685, 8390)","(33.596174448149846, 130.36331839282676)","(33.596240608777485, 130.3632381800321)"
Path7
1,"[33.59419482018201, 130.3636609186701]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59427946938906, 130.36362673249005)"
-81.78346384754786,"[33.59424642755984, 130.3637633622907]","(8389, 8678)","(33.59427946938906, 130.36362673249005)","(33.59432227718511, 130.3637327298839)"
-132.1045061930261,"[33.59430556188671, 130.3638586310021]","(8389, 8678)","(33.59432227718511, 130.3637327298839)","(33.5943636491737, 130.36383517204106)"
-139.18089575107666,"[33.59438337109385, 130.3639096935563]","(8389, 8678)","(33.5943636491737, 130.36383517204106)","(33.5943922904605, 130.3639060914071)"
-143.14490217636552,"[33.59441481999455, 130.3639790789507]","(8389, 8678)","(33.5943922904605, 130.3639060914071)","(33.59442079282381, 130.36397666678144)"
-185.4789217080717,"[33.59440710864364, 130.3640943636469]","(8389, 8678)","(33.59442079282381, 130.36397666678144)","(33.59445974114535, 130.3640731076394)"
-271.17634434212215,"[33.59451205007135, 130.3641892132632]","(5066, 8389)","(33.59445974114535, 130.3640731076394)","(33.59446015405424, 130.3641208693281)"
-389.50432941438623,"[33.59460477068423, 130.3641877548121]","(8389, 8390)","(33.59446015405424, 130.3641208693281)","(33.59452608524933, 130.3640742185448)"
-506.1967523111446,"[33.59468221108763, 130.3641434815995]","(8389, 8390)","(33.59452608524933, 130.3640742185448)","(33.59459912656234, 130.36402359782582)"
